Name,Position
Cristiano Biraghi,DG
Federico Fazio,DC
Giorgio Cittadini,DC
Mattia Bani,DC
Davide Zappacosta,MD
Elseid Hysaj,DG
Emil Holm,MD
Alessio Zerbin,AG
Agustín Martegani,MC
Moise Kean,BU
David Okereke,BU
João Ferreira,DC
Caleb Okoli,DC
Brenner,BU
Edoardo Bove,MC
Francesco Gelli,MG
Valentín Carboni,MOC
Pol Lirola,DC
Martin Erlić,DC
Tyronne Ebuehi,DD
Adrien Tamèze,DC
Pierluigi Gollini,G
Valentin Gendrey,DD
Natan,DC
Warren Bondo,MDC
Gabriel Strefezza,BU
Thomas Kristensen,DC
Nikola Krstović,BU
Walid Cheddira,BU
Ilario Monterisi,DC
Hans Nicolussi,MC
Luca Pellegrini,DG
Grégoire Defrel,AD
Leonardo Spinazzola,MG
Alessandro Sorrentino,G
Mateo Retegui,BU
Adam Marušić,DG
Tommaso Baldanzi,MOC
Daniel Maldini,MOC
Patrick Ciurria,MD
Luca Caldirola,DC
Michele Cerofolini,G
Lorenzo Venuti,DD
Luca Mazzitelli,MC
Edoardo Goldaniga,DC
Ardian Ismajli,DC
Boris Radunović,G
Armand Laurienté,AG
Nadir Zortea,MD
Pierre Kalulu,DD
Hassane Kamara,MG
Ahmed Touba,DC
Federico Baschirotto,DC
Christian Kouamé,AG
Charalampos Lykogiannis,DG
Mërgim Vojvoda,MG
Nicolas Viola,MOC
Martín Payero,MC
Antonio Candreva,MOC
Szymon Żurkowski,MOC
Antonio Sanabria,BU
Liberato Cacace,DG
Matheus Henrique,MDC
Patrick Dorgu,DG
Jackson Tchatchoua,DD
Ylber Ramadani,MC
Roberto Piccoli,BU
Jeremy Toljan,DD
Antonino Gallo,DG
Ruslan Malinovskyi,MC
Luca Lipani,MDC
Fabio Miretti,MC
Lorenzo Lucca,BU
Arijon Ibrahimović,AG
Gianluca Lapadula,BU
Rolando Mandragora,MDC
Josip Brekalo,AG
Matías Viña,DG
Mário Rui,DG
Filip Kostić,MG
Zeki Çelik,DD
Sebastian Walukiewicz,DC
Reinier,MOC
Tommaso Augello,DG
Kostas Manolas,DC
Junior Messias,MC
Davy Klaassen,MC
Karol Linetty,MC
Luka Jović,BU
Rémi Oudin,MC
Giorgos Kiriakopoulos,MG
Andrea Pinamonti,BU
Pontus Almqvist,BU
Lorenzo Colombo,BU
Marcus Holmgren Pedersen,DD
Mitchel Bakker,MG
Hamed Junior Traorè,MC
Nicola Zalewski,MG
Joan Gonzàlez,MC
Matteo Prati,MC
Djed Spence,MD
Ridgeciano Delano Leandro Haps,MG
Marco Silvestri,G
Fabien Centonze,DD
Filippo Terracciano,DG
Tommaso Corazza,DD
Reda Belahyane,MDC
Hans Hateboer,MD
Darko Lazović,AG
Saba Sazonov,DC
Bartosz Bereszyński,DC
Bruno Amione,DC
Jens Cajuste,MC
Antoine Makoumbou,MC
Niccolò Pierozzi,DC
Samuele Birindelli,DD
Kingsley Ehizibue,MD
Jacopo Fazzini,MC
Pantelis Hatzidiakos,DC
Mateusz Wieteska,DC
Jaime Báez,MG
Grigoris Kastanos,MOC
Adam Masina,DC
Samuel Iling-Junior,MG
Kevin Strootman,MC
Jens Odgaard,MD
Ruan Tressoldi,DC
Marco Faraoni,MD
Jovane Cabral,MOC
M'Bala Nzola,BU
Michael Folorunsho,MOC
Norbert Gyömbér,DC
Valentino Lazaro,MG
Morten Thorsby,MC
Ibrahim Sulemana,MC
Jesper Lindstrøm,BU
Alberto Cerri,BU
Kevin Bonifazi,DC
Nedim Bajrami,MOC
Adam Obert,DC
Gabriele Zappa,DD
Boulaye Dia,BU
Iron David Bocaf Gomis,MC
Samu Castillejo,AD
Nikola Moro,MDC
Jesper Karlsson,AG
Flavius Daniliuc,DC
Aarón Martín,MG
Emanuele Valeri,MG
Mateus Lusuardi,DC
Matteo Lovato,DC
Lassana Coulibaly,MC
Jean-Daniel Akpa Akpro,MC
Rasmus Nissen Kristensen,MD
Domagoj Bradarić,MG
Gaetano Pio Oristanio,BU
Junior Sambia,MD
Jordan Zemura,MG
Jérôme Boateng,DC
Giuseppe Caso,BU
Mattia Viti,DG
Cristian Volpato,AD
Oier Zarraga,MC
Alessandro Deiola,MC
Răzvan Marin,MC
Samuele Mulattieri,BU
Mohamed Kaba,MC
Pedro Obiang,MC
Hamza Rafia,MC
Medon Berisha,MC
Marco Brescianini,MC
Toma Bašić,MC
Stephan El Shaarawy,BU
Gustav Isaksen,BU
Loum Tchaouna,BU
Kristian Thorstvedt,MOC
Lorenzo Pirola,DC
Kaio Jorge,BU
Federico Bonazzoli,BU
Simone Bastoni,MC
Oliver Christensen,G
Pietro Pellegri,BU
Pedro,BU
Emmanuel Gyasi,MD
Paulo Azzi,MG
Filippo Missori,MD
Nahitan Nández,MD
Thomas Michel David Henry,BU
M'Baye Niang,BU
Nicola Sansone,BU
Karol Świderski,BU
Pedro Pereira,MD
Alessandro Di Pardo,MD
Gianluca Caprari,MOC
Isaac Success,BU
Riccardo Saponara,AG
Yann Karamoh,MOC
Stefan Mitrović,AD
Brandon Soppy,MD
Josh Doig,MG
Pasquale Mazzocchi,MD
José Machín,MOC
Marash Kumbulla,DC
Francesco Caputo,BU
Viktor Kovalenko,MC
Emanuel Vignato,MOC
Stefano Sabelli,MD
Festy Ebosele,MD
Mateusz Jacek Łęgowski,MC
Jakub Jankto,MG
Giuseppe Pezzella,MG
Emil Bohinen,MC
Filippo Ranocchia,MC
Giovanni Simeone,BU
Eldor Shomurodov,MOC
Diego Demme,MC
Demba Seck,MOC
Marco Mancosu,MOC
Chukwubuikem Ikwuemesi,BU
Luca Garritano,MD
Simeon Nwankwo,BU
Triantafyllos Pasalidis,DC
Marco Pellegrino,DC
Jordi Mboula,AG
Eljif Elmas,MC
Marvin Çuni,BU
Alessandro Zanoli,MD
Erik Botheim,BU
Nicolás Domínguez,MC
Tammy Abraham,BU
Mattia Destro,BU
Samuele Perisan,G
Shon Weissman,BU
Beto,BU
Stiven Shpendi,BU
Luca Gemello,G
Mehdi Bourabia,MDC
Farès Ghedjemis,BU
Silvan Hefti,MD
Sydney van Hooijdonk,BU
Mirko Marić,BU
Juan Manuel Cruz,BU
George Puşcaş,BU
Alexander Satariano,ATT
Alessandro Pio Riccio,DEF
Lapo Nava,G
Renato Marin,G
Alessandro Fontanarosa,DEF
Kevin Miranda,DEF
Roberto Pierno,DEF
Federico Brancolini,G
Jasper Samooja,G
Federico Zuccon,MIL
Mihai Popa,G
David Heidenreich,DEF
Giovanni Crociata,MIL
Mattia Mannini,MIL
Alberto Manzoni,MIL
Thórir Helgason,MIL
Benjamin Tahirović,MIL
Luigi D'Avino,DEF
Salvatore Elia,MIL
Simone Stampete,ATT
Fabio Desole,DEF
Iwo Kaczmarski,MIL
Leo Štulac,MIL
Antonio Tikvić,DEF
Daniele Padelli,G
Endri Muhameti,MIL
Flavio Bianchi,ATT
Paul Pogba,MIL
Tommaso Barbieri,DEF
Vimoj Muntu Wa Mungu,DEF
Uroš Kabić,ATT
Alessio Rizza,DEF
Zanos Savva,ATT
Marko Pajač,DEF
Julian Kristoffersen,ATT
Andreas Ioannou,DEF
Alexandr Kokorin,ATT
Gerardo Fusco,ATT
Federico Ceccherini,DEF
Kingsley Michael,MIL
Simone Panada,MIL
Jonas Rouhi,DEF
Justin Kluivert,ATT
Soufiane Bidaoui,ATT
Berkan İsmail Kutlu,MIL
Emil Roback,ATT
Wilfried Singo,DEF
Adama Soumaoro,DEF
Matteo Colombo,MIL
Mattia Aramu,ATT
Morten Hjulmand,MIL
Marko Rog,MIL
Gabriele Gori,ATT
Simone Calvani,G
Seb Loeffen,DEF
Ciprian Tătărușanu,G
Christian Capone,MIL
Michele Avella,G
Franco Carboni,DEF
Andrei Moțoc,DEF
Armando Anastasio,DEF
Nemanja Matić,MIL
Bor Žunec,MIL
Reda Boultam,MIL
Niccolò Guccione,DEF
Mannah Chiwisa Mwewa,MIL
Nicolo Calabrese,DEF
Tommaso Pittino,DEF
Aaron Ciammaglichella,MIL
Keinan Davis,ATT
Filip Benković,DEF
Kaan Ayhan,DEF
Kastriot Dermaku,DEF
Giovanni Garofani,G
Alessandro Dellavalle,DEF
Gerard Deulofeu,ATT
Giacomo Toniolo,G
Francesco Gioielli,MIL
Lorenzo Amatucci,MIL
Matteo Brezzo,G
Vittorio Agostinelli,MIL
Samuel Mbangula,ATT
Daniele Solcia,DEF
Jacopo Del Bello,G
Andreas Jungdal,G
Alessandro Calligaris,G
Jacopo Gianelli,MIL
Giacomo Faticanti,MIL
Leonardo Candellone,ATT
Santiago Pierotti,ATT
Filip Jagiełło,MIL
Gabriele Baldi,G
Daniel Samek,MIL
Christian Foglio,MIL
Lorenzo Bernasconi,DEF
Abdelhamid Sabiri,MIL
Marco Da Graca,ATT
Valerio Mantovani,DEF
Giorgi Kvernadze,ATT
Luca Vido,ATT
Andrea Ceresoli,DEF
Luka Romero,MIL
Massimo Coda,ATT
Giorgio Altare,DEF
Tajon Buchanan,MIL
Jacopo Da Riva,MIL
Juan Cuadrado,MIL
Gino Infantino,MIL
Leonardo Bonucci,DEF
Edin Džeko,ATT
Tommaso Ferrari,DEF
Nunzio Lella,MIL
Giacomo Manzari,ATT
Côme Bianay Balcot,DEF
Güven Yalçın,ATT
Dimitris Keramitsis,DEF
Andrea Bartoccioni,G
Brian Bayeye,MIL
Alexandru Șiman,ATT
Tibo Persyn,MIL
James Abankwah,DEF
Paolo Vismara,G
Dimitrije Kamenović,DEF
Filippo Melegoni,MIL
Charlys Matheus Lima Pontes,MIL
Faroukou Kayode Cissé,DEF
Mattia Caldara,DEF
Saná Fernandes,ATT
Federico Mangiameli,ATT
Tiémoué Bakayoko,MIL
Valerio Labriola,MIL
Gabriele Guarino,DEF
Gabriele Indragoli,DEF
Bruno Conti,MIL
Kevin Lasagna,ATT
Pasquale Allocca,G
Jeppe Corfitzen,ATT
Francesco Orlando,ATT
Andri Fannar Baldursson,MIL
Sergiño Dest,DEF
Angelos Neofytou,ATT
Francesco D'Alessio,MIL
Jordan Aleksander Majchrzak,ATT
Vivaldo Semedo,ATT
Jacopo De Matteis,G
Chaka Traoré,ATT
Lorenzo Tonelli,DEF
André Onana,G
Dylan Bronn,DEF
Ebrima Darboe,MIL
Ciro Borrelli,MIL
Ryan Flamingo,DEF
Alessandro Mallamo,MIL
Antonino Viola,G
Simone Aresti,G
Guillaume Renault,MIL
Khadim Ndiaye,G
Leonardo Pezzola,DEF
Axel Guessand,DEF
Davide Renzetti,G
Ebenezer Ajodun Akinsanmiro,MIL
Antonio Gala,MIL
Giacomo Corona,ATT
Marco Sala,DEF
Gianmarco Cangiano,ATT
Brahim Díaz,MIL
Matjaž Kamenšek Pahič,DEF
Tommaso Del Lungo,DEF
Sergio Kalaj,DEF
Matteo Pinelli,DEF
Daniel Theiner,G
Daniele Sommariva,G
Milan Škriniar,DEF
Jan Oliveras Codina,DEF
Mattia Compagnon,MIL
Tommaso Bertini,G
Lorenzo Torriani,G
Joel Axel Krister Voelkerling Persson,ATT
Andrea Bonanomi,MIL
Jacopo Antolini,DEF
Fallou Sene,ATT
Filippo Costa,DEF
Filippo Alessio,ATT
Alessandro Berretta,MIL
Matteo Falasca,DEF
Pierluigi Frattali,G
Andrea Sergio Mazza,G
Alessandro Scacchetti,G
Samuele Spalluto,ATT
Tommaso De Nipoti,ATT
Yayah Kallon,ATT
Issiaka Kamate,MIL
Tommaso Vannucchi,G
Ante Rebić,ATT
Valentin Antov,DEF
Moustapha Cissé,ATT
Gianluca Frabotta,DEF
Fabio Andrea Ruggeri,DEF
Sofyan Amrabat,MIL
Cristian Shpendi,ATT
Justin Kumi,MIL
Filippo Vertua,G
Luca Marianucci,DEF
Gian Marco Crespi,G
Alassane Sidibe,ATT
Antonio Raimondo,ATT
Nicola Patanè,MIL
Paweł Jaroszyński,DEF
Sebastian Esposito,DEF
Vanja Vlahović,MIL
Victor Eletu,MIL
Giorgio Brogni,DEF
Samuele Angori,DEF
Lorenzo Russo,MIL
Federico Mosca,G
Alessandro Cortinovis,MIL
Denis Cazzadori,ATT
Riza Durmisi,DEF
Karlo Lulić,MIL
