Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
175,Unai Simón,es ESP,Athletic Club,es La Liga,26,1997,36,36,3182,33,0.93,122,90,73.8,18,11,7,16,44.4,1,3,75.0
176,Antonio Sivera,es ESP,Alavés,es La Liga,26,1996,34,34,3060,38,1.12,123,87,75.6,11,8,15,10,29.4,8,0,0.0
177,Łukasz Skorupski,pl POL,Bologna,it Serie A,32,1991,32,32,2880,29,0.91,106,77,75.5,14,13,5,13,40.6,3,1,25.0
178,Daniele Sommariva,it ITA,Genoa,it Serie A,26,1997,1,0,5,0,0.00,0,0,Unknown,0,0,0,1,Unknown,0,0,Unknown
179,Yann Sommer,ch SUI,Inter,it Serie A,34,1988,34,34,3060,19,0.56,98,78,82.7,27,6,1,19,55.9,2,1,33.3
180,David Soria,es ESP,Getafe,es La Liga,30,1993,38,38,3413,52,1.37,171,118,72.5,10,13,15,10,26.3,5,1,16.7
181,Alessandro Sorrentino,it ITA,Monza,it Serie A,21,2002,7,5,548,16,2.63,32,16,62.5,0,1,4,0,0.0,4,0,0.0
182,Marco Sportiello,it ITA,Milan,it Serie A,31,1992,7,7,630,11,1.57,33,23,69.7,3,3,1,2,28.6,1,0,0.0
183,Jason Steele,eng ENG,Brighton,eng Premier League,32,1990,17,17,1530,34,2.00,74,42,58.1,5,4,8,2,11.8,3,0,0.0
184,Thomas Strakosha,al ALB,Brentford,eng Premier League,28,1995,2,1,135,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,Unknown
185,Mile Svilar,rs SRB,Roma,it Serie A,23,1999,15,15,1350,19,1.27,77,58,76.6,7,4,4,5,33.3,1,1,50.0
186,Wojciech Szczęsny,pl POL,Juventus,it Serie A,33,1990,35,35,3150,30,0.86,108,79,74.1,17,13,5,15,42.9,2,1,33.3
187,Arnau Tenas,es ESP,Paris S-G,fr Ligue 1,22,2001,6,5,529,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,Unknown
188,Marc-André ter Stegen,de GER,Barcelona,es La Liga,31,1992,28,28,2520,27,0.96,102,75,75.5,20,5,3,15,53.6,2,0,0.0
189,Pietro Terracciano,it ITA,Fiorentina,it Serie A,33,1990,33,33,2970,35,1.06,126,90,77.0,15,8,10,8,24.2,6,1,14.3
190,James Trafford,eng ENG,Burnley,eng Premier League,20,2002,28,28,2520,62,2.21,166,106,65.7,3,5,20,2,7.1,5,0,0.0
191,Kevin Trapp,de GER,Eint Frankfurt,de Bundesliga,33,1990,32,32,2880,48,1.50,137,87,71.5,10,13,9,7,21.9,9,2,18.2
192,Mark Travers,ie IRL,Bournemouth,eng Premier League,24,1999,4,4,360,5,1.25,18,13,77.8,2,0,2,2,50.0,1,0,0.0
193,Stefano Turati,it ITA,Frosinone,it Serie A,21,2001,31,31,2745,58,1.90,152,94,65.1,6,9,16,4,12.9,5,1,16.7
194,Matt Turner,us USA,Nott'ham Forest,eng Premier League,29,1994,17,17,1530,28,1.65,80,52,67.5,4,5,8,2,11.8,2,0,0.0
195,Sven Ulreich,de GER,Bayern Munich,de Bundesliga,34,1988,11,11,990,12,1.09,31,19,64.5,7,2,2,4,36.4,1,0,0.0
196,Álvaro Vallés,es ESP,Las Palmas,es La Liga,26,1997,37,37,3263,44,1.21,152,108,74.3,10,10,17,8,21.6,5,3,37.5
197,Bart Verbruggen,nl NED,Brighton,eng Premier League,20,2002,21,21,1890,28,1.33,91,63,72.5,7,8,6,4,19.0,3,0,0.0
198,Guglielmo Vicario,it ITA,Tottenham,eng Premier League,26,1996,38,38,3420,61,1.61,167,109,67.7,20,6,12,7,18.4,7,0,0.0
199,Fran Vieites,es ESP,Betis,es La Liga,24,1999,4,3,315,4,1.14,18,14,77.8,1,2,0,2,66.7,0,0,Unknown
200,Iván Villar,es ESP,Celta Vigo,es La Liga,26,1997,12,12,1014,18,1.60,44,26,63.6,2,4,6,0,0.0,2,1,33.3
201,Odysseas Vlachodimos,gr GRE,Nott'ham Forest,eng Premier League,29,1994,5,5,450,12,2.40,22,10,50.0,1,0,4,1,20.0,1,0,0.0
202,Robin Zentner,de GER,Mainz 05,de Bundesliga,28,1994,30,30,2700,48,1.60,128,81,64.8,7,12,11,7,23.3,3,0,0.0
203,Michael Zetterer,de GER,Werder Bremen,de Bundesliga,28,1995,27,27,2430,37,1.37,128,92,74.2,9,9,9,6,22.2,4,0,0.0
