Col_0,Col_1,Col_2,Col_4,Col_5,Col_6,Col_7,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Performance.8,Performance.9,Penalty Kicks.1,Penalty Kicks.2,Penalty Kicks.4
Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,Save%
42,Raffaele Di Gennaro,it ITA,Inter,it Serie A,29,1993,1,0,23,0,0.00,4,4,100.0,0,0,0,0,Unknown,0,0,Unknown
43,Michele Di Gregorio,it ITA,Monza,it Serie A,26,1997,33,33,2872,35,1.10,159,122,79.9,11,11,11,12,36.4,3,2,40.0
44,Mory Diaw,sn SEN,Clermont Foot,fr Ligue 1,30,1993,30,30,2700,54,1.80,188,134,74.5,4,8,18,5,16.7,6,1,14.3
45,Guillaume Dietsch,fr FRA,Metz,fr Ligue 1,22,2001,1,0,73,1,1.23,3,2,66.7,0,0,0,0,Unknown,0,0,Unknown
46,Stole Dimitrievski,mk MKD,Rayo Vallecano,es La Liga,29,1993,37,37,3330,47,1.27,150,104,69.3,8,14,15,13,35.1,1,1,50.0
47,Yehvann Diouf,sn SEN,Reims,fr Ligue 1,23,1999,34,34,3060,47,1.38,137,90,70.1,13,8,13,8,23.5,6,1,14.3
48,Marko Dmitrović,rs SRB,Sevilla,es La Liga,31,1992,13,13,1170,25,1.92,68,44,66.2,2,2,9,2,15.4,2,0,0.0
49,Jaume Doménech,es ESP,Valencia,es La Liga,32,1990,2,1,79,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,Unknown
50,Gianluigi Donnarumma,it ITA,Paris S-G,fr Ligue 1,24,1999,25,25,2169,20,0.83,110,89,84.5,18,6,1,10,40.0,3,1,25.0
51,Martin Dúbravka,sk SVK,Newcastle Utd,eng Premier League,34,1989,23,22,1985,42,1.90,130,87,70.8,9,4,9,5,22.7,4,1,20.0
52,Ederson,br BRA,Manchester City,eng Premier League,29,1993,33,33,2785,27,0.87,82,56,70.7,24,6,3,10,30.3,3,0,0.0
53,Aarón Escandell,es ESP,Las Palmas,es La Liga,27,1995,2,1,153,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,Unknown
54,Łukasz Fabiański,pl POL,West Ham,eng Premier League,38,1985,10,7,721,21,2.62,53,33,66.0,3,1,3,1,14.3,3,0,0.0
55,Wladimiro Falcone,it ITA,Lecce,it Serie A,28,1995,38,38,3420,54,1.42,173,119,71.7,8,14,16,7,18.4,5,1,16.7
56,Aitor Fernández,es ESP,Osasuna,es La Liga,32,1991,7,6,551,9,1.47,20,11,60.0,0,2,4,1,16.7,1,0,0.0
57,Raúl Fernández,es ESP,Granada,es La Liga,35,1988,4,4,280,11,3.54,17,7,35.3,1,0,3,0,0.0,0,0,Unknown
58,Fernando,es ESP,Almería,es La Liga,33,1990,4,4,360,10,2.50,23,13,56.5,1,1,2,0,0.0,0,0,Unknown
59,André Ferreira,pt POR,Granada,es La Liga,27,1996,15,14,1340,29,1.95,77,49,66.2,0,5,9,0,0.0,3,0,0.0
60,Vincenzo Fiorillo,it ITA,Salernitana,it Serie A,33,1990,4,4,360,8,2.00,26,18,69.2,0,2,2,0,0.0,0,0,Unknown
61,Mark Flekken,nl NED,Brentford,eng Premier League,30,1993,37,37,3285,63,1.73,176,113,65.3,10,9,18,7,18.9,2,0,0.0
62,Wes Foderingham,eng ENG,Sheffield Utd,eng Premier League,32,1991,30,29,2649,79,2.68,204,130,63.7,3,4,22,1,3.4,5,0,0.0
63,Daniel Fuzato,br BRA,Getafe,es La Liga,26,1997,1,0,7,2,25.71,2,0,0.0,0,0,0,0,Unknown,0,0,Unknown
64,Paulo Gazzaniga,ar ARG,Girona,es La Liga,31,1992,38,38,3420,46,1.21,168,121,75.6,25,6,7,12,31.6,5,1,16.7
65,Luca Gemello,it ITA,Torino,it Serie A,23,2000,2,2,180,5,2.50,9,4,55.6,0,0,2,0,0.0,1,0,0.0
66,David Gil,es ESP,Cádiz,es La Liga,29,1994,5,4,372,8,1.94,24,17,66.7,0,3,1,1,25.0,0,0,Unknown
67,Pierluigi Gollini,it ITA,Napoli,it Serie A,28,1995,7,7,630,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,Unknown
68,Mathieu Gorgelin,fr FRA,Le Havre,fr Ligue 1,32,1990,1,1,90,2,2.00,5,3,80.0,0,0,1,0,0.0,1,0,0.0
69,Jens Grahl,de GER,Eint Frankfurt,de Bundesliga,34,1988,2,2,180,2,1.00,9,7,77.8,1,1,0,0,0.0,0,0,Unknown
70,Ivo Grbić,hr CRO,Sheffield Utd,eng Premier League,27,1996,9,9,771,25,2.92,59,36,57.6,0,3,6,0,0.0,0,0,Unknown
71,Dominik Greif,sk SVK,Mallorca,es La Liga,26,1997,1,1,90,0,0.00,4,4,100.0,0,1,0,1,100.0,0,0,Unknown
72,Vicente Guaita,es ESP,Celta Vigo,es La Liga,36,1987,27,26,2403,39,1.46,120,83,70.8,8,7,11,6,23.1,4,0,0.0
