Player,Rk,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Nation,Pos,Squad,Comp,Calculated_Age,Goals_per_minute,Goals_per_90,Assists_per_90
Abde Ezzalzouli,835,21.0,2001.0,28,6.0,933,10.4,1,0,1,1,0,0,1,0,3.2,2.4000000000000004,0.4,2.8,64.0,26.0,101.0,0.1,0.0,0.1,0.1,0.1,0.445,0.12,0.71,0.395,0.63,ma MAR,"FW,MF",Barcelona,es La Liga,24.0,0.0010706638115631692,0.09606147934678194,0.0
Abdel Abqar,12,24.0,1999.0,27,27.0,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,ma MAR,DF,Alavés,es La Liga,26.0,0.0,0.0,0.0
Abdellah Baallal,173,18.0,2004.0,1,0.0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ma MAR,MF,Clermont Foot,fr Ligue 1,21.0,0.0,0.0,0.0
Abdellah Raihani,2175,19.0,2004.0,1,0.0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ma MAR,FW,Atlético Madrid,es La Liga,21.0,0.0,0.0,0.0
Abderrahman Rebbach,2205,24.0,1998.0,23,6.0,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34.0,14.0,78.0,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33,dz ALG,"FW,MF",Alavés,es La Liga,27.0,0.0013831258644536654,0.12484394506866417,0.0
Abdou Harroui,1104,25.0,1998.0,18,13.0,1019,11.3,3,3,6,2,0,0,2,0,3.1,2.3,1.2,3.5,43.0,38.0,56.0,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31,nl NED,"MF,FW",Frosinone,it Serie A,27.0,0.0029411764705882353,0.2652519893899204,0.2652519893899204
Abdoul Kader Bamba,1277,29.0,1994.0,23,1.0,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41.0,31.0,73.0,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,fr FRA,"FW,MF",Nantes,fr Ligue 1,31.0,0.0032679738562091504,0.2936857562408223,0.14684287812041116
Abdoul Koné,1362,18.0,2005.0,3,3.0,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,fr FRA,DF,Reims,fr Ligue 1,20.0,0.0,0.0,0.0
Abdoulaye Doucouré,756,30.0,1993.0,32,32.0,2629,29.2,5,1,8,5,0,0,7,0,5.3500000000000005,4.85,2.9,9.55,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,ml MLI,"FW,MF",Everton,eng Premier League,32.0,0.0019011406844106464,0.17117425539198905,0.034234851078397806
Abdoulaye Touré,2619,29.0,1994.0,30,27.0,2284,25.4,2,0,2,0,0,0,4,0,3.0,1.4,0.9,2.3,22.0,148.0,25.0,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09,gn GUI,MF,Le Havre,fr Ligue 1,31.0,0.00087527352297593,0.07870916961826052,0.0
Abdukodir Khusanov,1335,19.0,2004.0,11,9.0,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,uz UZB,DF,Lens,fr Ligue 1,21.0,0.0,0.0,0.0
Abdul Mumin,1831,25.0,1998.0,20,19.0,1694,18.8,1,0,1,1,0,0,5,0,0.4,0.4,0.3,0.7,6.0,38.0,4.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,gh GHA,DF,Rayo Vallecano,es La Liga,27.0,0.0005899705014749262,0.05316321105794789,0.0
Abdón Prats,2155,30.0,1992.0,34,11.0,1270,14.1,5,1,7,5,0,0,4,0,3.2,3.2,2.4,5.6,9.0,26.0,49.0,0.4,0.07,0.5,0.375,0.5,0.23,0.17,0.4,0.23,0.4,es ESP,"FW,MF",Mallorca,es La Liga,33.0,0.003933910306845004,0.35435861091424525,0.07087172218284904
Ablie Jallow,1216,24.0,1998.0,17,10.0,918,10.2,3,2,5,2,0,0,1,0,2.0,1.2,1.0,2.2,29.0,42.0,53.0,0.29,0.2,0.49,0.2,0.39,0.19,0.1,0.29,0.12,0.22,gm GAM,"MF,FW",Metz,fr Ligue 1,27.0,0.003264417845484222,0.29382957884427036,0.19588638589618024
Abner,10,23.0,2000.0,23,15.0,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,br BRA,DF,Betis,es La Liga,25.0,0.0,0.0,0.06406149903907751
