Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,name_norm,match_type
1,Max Aarons,eng ENG,DD,Bournemouth,eng Premier League,23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,Matches,max aarons,exact
2,Brenden Aaronson,us USA,MC,Union Berlin,de Bundesliga,22,2000,14.1,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2.0,+0.1,22,30,14,3,56,Matches,brenden aaronson,exact
3,Paxten Aaronson,us USA,MC,Eint Frankfurt,de Bundesliga,19,2003,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,Matches,paxten aaronson,exact
4,Keyliane Abdallah,fr FRA,ATT,Marseille,fr Ligue 1,17,2006,0.0,1,1,100.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,keyliane abdallah,exact
5,Yunis Abdelhamid,ma MAR,DC,Reims,fr Ligue 1,35,1987,30.9,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0,0.3,0.6,-0.3,8,129,3,0,137,Matches,yunis abdelhamid,exact
6,Salis Abdul Samed,gh GHA,MC,Lens,fr Ligue 1,23,2000,16.9,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,0,0.5,1.1,-0.5,6,87,5,2,78,Matches,salis abdul samed,exact
7,Nabil Aberdin,fr FRA,DC,Getafe,es La Liga,20,2002,2.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0,0.0,0.0,0.0,0,4,0,0,7,Matches,nabil aberdin,exact
8,Laurent Abergel,fr FRA,MC,Lorient,fr Ligue 1,30,1993,31.8,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1,2.1,1.9,-1.1,30,188,23,3,194,Matches,laurent abergel,exact
9,Matthis Abline,fr FRA,BU,Nantes,fr Ligue 1,20,2003,11.6,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0,2.0,0.9,-2.0,17,6,7,2,20,Matches,matthis abline,exact
10,Abner,br BRA,DG,Betis,es La Liga,23,2000,15.6,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1.0,1.0,0.0,8,20,7,2,33,Matches,abner,exact
11,Zakaria Aboukhlal,ma MAR,MOC,Toulouse,fr Ligue 1,23,2000,8.4,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,0,0.2,1.1,-0.2,5,10,9,1,20,Matches,zakaria aboukhlal,exact
12,Abdel Abqar,ma MAR,DC,Alavés,es La Liga,24,1999,25.7,553,762,72.6,12370,4872,141,164,86.0,302,339,89.1,99,225,44.0,0,0.2,0.2,-0.2,3,61,2,0,49,Matches,abdel abqar,lastname:abdelkabir abqar
13,Tammy Abraham,eng ENG,BU,Roma,it Serie A,25,1997,2.7,19,40,47.5,231,75,14,25,56.0,4,9,44.4,0,1,0.0,0,0.1,0.0,-0.1,3,1,1,0,4,Matches,tammy abraham,exact
14,Francesco Acerbi,it ITA,DC,Inter,it Serie A,35,1988,26.5,1615,1781,90.7,29326,9174,601,650,92.5,856,908,94.3,132,179,73.7,1,1.8,1.3,-0.8,7,58,5,2,87,Matches,francesco acerbi,exact
15,Joshua Acheampong,eng ENG,DEF,Chelsea,eng Premier League,17,2006,0.1,1,2,50.0,18,7,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,joshua acheampong,fuzzy:josh acheampong
16,Marcos Acuña,ar ARG,DG,Sevilla,es La Liga,31,1991,14.4,628,847,74.1,12126,4928,260,297,87.5,262,328,79.9,94,183,51.4,2,1.5,2.1,+0.5,23,52,19,12,59,Matches,marcos acuna,exact
17,Akor Adams,ng NGA,BU,Montpellier,fr Ligue 1,23,2000,25.0,250,385,64.9,3676,786,125,185,67.6,89,126,70.6,14,29,48.3,1,1.9,1.4,-0.9,17,14,4,2,17,Matches,akor adams,exact
18,Tyler Adams,us USA,MDC,Bournemouth,eng Premier League,24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,Matches,tyler adams,exact
19,Junior Adamu,at AUT,ATT,Freiburg,de Bundesliga,22,2001,1.2,18,30,60.0,181,36,15,17,88.2,1,9,11.1,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,Matches,junior adamu,exact
20,Sargis Adamyan,am ARM,BU,Köln,de Bundesliga,30,1993,8.9,132,189,69.8,1883,483,73,94,77.7,44,64,68.8,5,9,55.6,2,2.0,1.1,0.0,12,16,3,0,18,Matches,sargis adamyan,exact
21,Tosin Adarabioyo,eng ENG,DC,Fulham,eng Premier League,25,1997,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,Matches,tosin adarabioyo,exact
22,Elijah Adebayo,eng ENG,BU,Luton Town,eng Premier League,25,1998,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,Matches,elijah adebayo,exact
23,Karim Adeyemi,de GER,BU,Dortmund,de Bundesliga,21,2002,10.1,218,299,72.9,2929,719,135,162,83.3,61,83,73.5,8,18,44.4,1,2.0,1.6,-1.0,9,9,10,1,26,Matches,karim adeyemi,exact
24,Simon Adingra,ci CIV,AD,Brighton,eng Premier League,21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,Matches,simon adingra,exact
25,Nathaniel Adjei,gh GHA,DC,Lorient,fr Ligue 1,20,2002,13.8,578,669,86.4,10635,4097,216,246,87.8,294,323,91.0,52,73,71.2,0,0.1,0.5,-0.1,3,38,1,0,34,Matches,nathaniel adjei,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
