Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,name_norm,match_type
498,Fabien Centonze,fr FRA,MD,Hellas Verona,it Serie A,27,1996,7.5,213,317,67.2,3365,1617,110,138,79.7,87,119,73.1,13,40,32.5,1,1.0,0.8,0.0,6,14,8,7,14,Matches,fabien centonze,exact
499,Fabien Centonze,fr FRA,MD,Nantes,fr Ligue 1,27,1996,1.0,37,51,72.5,640,242,15,20,75.0,16,21,76.2,5,8,62.5,0,0.0,0.2,0.0,0,1,3,3,1,Matches,fabien centonze,exact
500,Václav Černý,cz CZE,AD,Wolfsburg,de Bundesliga,25,1997,10.2,255,364,70.1,3926,1237,145,173,83.8,71,109,65.1,24,45,53.3,1,0.9,2.5,+0.1,14,21,21,2,37,Matches,vaclav cerny,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
501,Michele Cerofolini,it ITA,G,Frosinone,it Serie A,24,1999,7.5,124,209,59.3,3261,2471,23,23,100.0,66,67,98.5,34,117,29.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches,michele cerofolini,exact
502,Alberto Cerri,it ITA,BU,Empoli,it Serie A,27,1996,6.1,68,136,50.0,877,149,50,82,61.0,16,33,48.5,2,4,50.0,0,0.2,0.3,-0.2,4,2,1,0,9,Matches,alberto cerri,exact
503,Leonardo Cerri,it ITA,ATT,Juventus,it Serie A,20,2003,0.1,0,2,0.0,0,0,0,2,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,leonardo cerri,exact
504,Franco Cervi,ar ARG,MG,Celta Vigo,es La Liga,29,1994,6.1,225,284,79.2,3302,1239,137,151,90.7,74,90,82.2,9,18,50.0,1,2.0,1.2,-1.0,10,16,4,0,24,Matches,franco cervi,exact
505,Julian Chabot,de GER,DC,Köln,de Bundesliga,25,1998,30.0,1361,1616,84.2,25807,10115,498,548,90.9,725,798,90.9,127,245,51.8,0,0.4,1.5,-0.4,9,81,5,1,71,Matches,julian chabot,exact
506,El Chadaille Bitshiabu,fr FRA,DEF,RB Leipzig,de Bundesliga,18,2005,0.4,48,59,81.4,829,270,24,26,92.3,17,22,77.3,7,9,77.8,0,0.0,0.0,0.0,0,2,0,0,1,Matches,el chadaille bitshiabu,exact
507,Fares Chaïbi,dz ALG,MOC,Toulouse,fr Ligue 1,20,2002,0.6,28,40,70.0,472,135,12,14,85.7,10,14,71.4,3,8,37.5,1,0.2,0.2,+0.8,2,3,2,0,5,Matches,fares chaibi,exact
508,Fares Chaïbi,dz ALG,MOC,Eint Frankfurt,de Bundesliga,20,2002,21.2,592,922,64.2,10022,3251,303,382,79.3,191,285,67.0,73,180,40.6,4,6.8,6.1,-2.8,51,57,39,10,86,Matches,fares chaibi,exact
509,Trevoh Chalobah,eng ENG,DC,Chelsea,eng Premier League,24,1999,10.6,700,783,89.4,12088,3518,278,302,92.1,377,397,95.0,35,70,50.0,0,0.1,0.4,-0.1,2,30,2,0,31,Matches,trevoh chalobah,exact
510,Muhammed Cham,at AUT,MOC,Clermont Foot,fr Ligue 1,22,2000,28.4,1055,1327,79.5,17640,4627,491,544,90.3,409,498,82.1,107,192,55.7,4,3.1,4.0,+0.9,49,99,34,1,161,Matches,muhammed cham,exact
511,Calum Chambers,eng ENG,MC,Aston Villa,eng Premier League,28,1995,1.7,100,113,88.5,1705,512,47,50,94.0,45,47,95.7,6,10,60.0,1,0.1,0.0,+0.9,1,2,0,0,5,Matches,calum chambers,exact
512,Timothy Chandler,us USA,MIL,Eint Frankfurt,de Bundesliga,33,1990,0.2,18,26,69.2,323,145,7,8,87.5,9,12,75.0,2,4,50.0,1,0.1,0.1,+0.9,2,2,1,0,5,Matches,timothy chandler,exact
513,Brendan Chardonnet,fr FRA,DC,Brest,fr Ligue 1,28,1994,33.0,1511,1824,82.8,32477,10685,401,441,90.9,849,918,92.5,238,421,56.5,1,1.6,1.3,-0.6,10,110,8,2,115,Matches,brendan chardonnet,exact
514,Charlys,br BRA,MF,Hellas Verona,it Serie A,19,2004,0.3,5,6,83.3,64,23,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,2,0,1,0,1,Matches,charlys,original
515,Pep Chavarría,es ESP,DG,Rayo Vallecano,es La Liga,25,1998,13.0,618,812,76.1,10023,3436,309,352,87.8,260,328,79.3,36,89,40.4,1,0.7,1.2,+0.3,13,48,27,13,74,Matches,pep chavarria,exact
516,Jhoanner Chávez,ec ECU,MG,Lens,fr Ligue 1,21,2002,5.3,173,222,77.9,2816,1043,91,109,83.5,60,72,83.3,15,26,57.7,0,0.5,0.6,-0.5,4,13,6,2,15,Matches,jhoanner chavez,exact
517,Walid Cheddira,ma MAR,BU,Frosinone,it Serie A,25,1998,23.6,262,385,68.1,3458,610,160,207,77.3,67,96,69.8,13,13,100.0,1,1.4,0.7,-0.4,16,17,4,0,22,Matches,walid cheddira,exact
518,Rayan Cherki,fr FRA,MOC,Lyon,fr Ligue 1,19,2003,19.1,830,1069,77.6,14766,4022,364,451,80.7,336,400,84.0,98,152,64.5,6,4.2,5.5,+1.8,42,85,43,6,138,Matches,rayan cherki,exact
519,Youssef Chermiti,pt POR,BU,Everton,eng Premier League,19,2004,2.3,35,58,60.3,486,108,19,32,59.4,12,19,63.2,1,1,100.0,0,0.8,0.3,-0.8,4,1,4,0,5,Matches,youssef chermiti,exact
520,Lucas Chevalier,fr FRA,G,Lille,fr Ligue 1,21,2001,33.0,914,1186,77.1,21421,14432,260,262,99.2,431,434,99.3,215,478,45.0,0,0.1,0.1,-0.1,2,9,2,0,2,Matches,lucas chevalier,exact
521,Fabio Chiarodia,it ITA,DC,Gladbach,de Bundesliga,18,2005,1.7,78,87,89.7,1232,439,43,46,93.5,33,35,94.3,2,6,33.3,0,0.1,0.2,-0.1,1,3,1,1,4,Matches,fabio chiarodia,exact
522,Federico Chiesa,it ITA,BU,Juventus,it Serie A,25,1997,24.4,498,712,69.9,7884,2466,270,329,82.1,161,224,71.9,48,93,51.6,2,6.2,5.6,-4.2,54,42,45,18,70,Matches,federico chiesa,exact
523,Ben Chilwell,eng ENG,MG,Chelsea,eng Premier League,26,1996,8.4,373,495,75.4,5230,1552,230,259,88.8,112,143,78.3,18,48,37.5,1,2.2,1.8,-1.2,14,29,2,2,25,Matches,ben chilwell,exact
524,Tawanda Chirewa,zw ZIM,BU,Wolves,eng Premier League,19,2003,1.6,46,58,79.3,664,151,29,31,93.5,14,18,77.8,2,3,66.7,0,0.0,0.1,0.0,1,3,3,2,7,Matches,tawanda chirewa,exact
525,Pedro Chirivella,es ESP,MC,Nantes,fr Ligue 1,26,1997,28.8,1494,1743,85.7,25864,7906,653,701,93.2,631,692,91.2,146,254,57.5,1,1.1,2.8,-0.1,19,168,22,7,192,Matches,pedro chirivella,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
526,Leon Chiwome,eng ENG,BU,Wolves,eng Premier League,17,2006,1.9,19,22,86.4,244,59,12,13,92.3,6,6,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches,leon chiwome,exact
527,Tahith Chong,cw CUW,MOC,Luton Town,eng Premier League,23,1999,22.0,428,550,77.8,6679,1643,227,257,88.3,149,189,78.8,32,54,59.3,0,0.5,1.4,-0.5,10,35,20,8,72,Matches,tahith chong,exact
528,Joris Chotard,fr FRA,MDC,Montpellier,fr Ligue 1,21,2001,28.7,961,1179,81.5,18558,6343,366,425,86.1,419,489,85.7,142,195,72.8,3,1.9,2.5,+1.1,14,111,15,5,111,Matches,joris chotard,exact
529,Andreas Christensen,dk DEN,DC,Barcelona,es La Liga,27,1996,22.0,1480,1569,94.3,25124,8496,669,699,95.7,700,724,96.7,87,108,80.6,2,1.1,0.8,+0.9,7,116,1,0,117,Matches,andreas christensen,exact
530,Jacob Christensen,dk DEN,MC,Köln,de Bundesliga,22,2001,2.4,66,85,77.6,1160,453,28,32,87.5,31,38,81.6,6,13,46.2,0,0.1,0.1,-0.1,2,8,1,0,12,Matches,jacob christensen,exact
531,Oliver Christensen,dk DEN,G,Fiorentina,it Serie A,24,1999,4.0,146,190,76.8,3678,2601,33,33,100.0,68,71,95.8,43,83,51.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches,oliver christensen,exact
532,Ryan Christie,sct SCO,MDC,Bournemouth,eng Premier League,28,1995,32.3,988,1300,76.0,18802,5120,399,467,85.4,425,510,83.3,143,253,56.5,5,5.4,5.4,-0.4,55,118,42,7,167,Matches,ryan christie,exact
533,Carney Chukwuemeka,eng ENG,MOC,Chelsea,eng Premier League,19,2003,2.5,115,134,85.8,1476,266,82,88,93.2,26,31,83.9,4,5,80.0,1,0.3,0.3,+0.7,4,4,6,0,12,Matches,carney chukwuemeka,exact
534,Samuel Chukwueze,ng NGA,AD,Milan,it Serie A,24,1999,11.3,330,421,78.4,5423,1275,163,197,82.7,140,170,82.4,19,32,59.4,3,2.3,2.7,+0.7,20,22,23,1,51,Matches,samuel chukwueze,exact
535,Chumi,es ESP,DF,Almería,es La Liga,24,1999,27.0,1044,1208,86.4,18403,6336,425,465,91.4,537,565,95.0,70,143,49.0,1,1.4,0.6,-0.4,4,44,3,1,68,Matches,chumi,original
536,Víctor Chust,es ESP,DC,Cádiz,es La Liga,23,2000,20.7,831,1040,79.9,16808,7302,288,317,90.9,416,459,90.6,118,230,51.3,1,0.3,0.2,+0.7,6,62,4,0,80,Matches,victor chust,exact
537,Pathé Ciss,sn SEN,MC,Rayo Vallecano,es La Liga,29,1994,18.5,738,890,82.9,13455,3975,315,362,87.0,339,383,88.5,69,101,68.3,0,0.5,0.7,-0.5,11,73,6,1,84,Matches,pathe ciss,exact
538,Alphadjo Cissè,it ITA,ATT,Hellas Verona,it Serie A,16,2006,0.1,1,1,100.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,alphadjo cisse,exact
539,Djaoui Cissé,fr FRA,MIL,Rennes,fr Ligue 1,19,2004,0.0,5,5,100.0,75,0,4,4,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,djaoui cisse,exact
540,Ibrahim Cissoko,nl NED,MD,Toulouse,fr Ligue 1,20,2003,2.7,89,116,76.7,1398,357,50,57,87.7,27,39,69.2,7,10,70.0,1,0.4,0.7,+0.6,6,7,9,7,12,Matches,ibrahim cissoko,exact
541,Giorgio Cittadini,it ITA,DC,Monza,it Serie A,21,2002,0.2,5,6,83.3,94,39,1,2,50.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,giorgio cittadini,exact
542,Giorgio Cittadini,it ITA,DC,Genoa,it Serie A,21,2002,1.2,19,31,61.3,392,117,6,11,54.5,9,14,64.3,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,giorgio cittadini,exact
543,Patrick Ciurria,it ITA,MD,Monza,it Serie A,28,1995,17.8,662,847,78.2,10671,3258,335,377,88.9,271,348,77.9,41,72,56.9,1,2.6,2.1,-1.6,30,46,28,10,68,Matches,patrick ciurria,exact
544,Bobby Clark,eng ENG,MC,Liverpool,eng Premier League,18,2005,1.0,38,49,77.6,465,64,23,29,79.3,11,12,91.7,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches,bobby clark,exact
545,Jordan Clark,eng ENG,MOC,Luton Town,eng Premier League,29,1993,14.5,369,513,71.9,6108,1636,180,231,77.9,136,173,78.6,33,63,52.4,1,1.3,1.2,-0.3,12,19,18,4,51,Matches,jordan clark,exact
546,Alexis Claude-Maurice,fr FRA,MC,Nice,fr Ligue 1,25,1998,5.6,202,253,79.8,2857,570,120,132,90.9,56,75,74.7,12,22,54.5,0,0.3,0.6,-0.3,7,15,6,3,21,Matches,alexis claude-maurice,exact
547,Jonathan Clauss,fr FRA,DD,Marseille,fr Ligue 1,30,1992,23.0,1153,1526,75.6,19885,6946,545,642,84.9,480,598,80.3,103,214,48.1,4,4.6,5.3,-0.6,46,99,50,18,137,Matches,jonathan clauss,exact
548,Silvi Clúa,es ESP,MIL,Girona,es La Liga,18,2005,0.0,5,5,100.0,85,41,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,silvi clua,exact
549,Nathaniel Clyne,eng ENG,DC,Crystal Palace,eng Premier League,32,1991,14.9,495,600,82.5,7555,3021,266,288,92.4,191,224,85.3,28,54,51.9,0,0.2,0.2,-0.2,3,33,4,2,33,Matches,nathaniel clyne,exact
550,Marcus Coco,fr FRA,MD,Nantes,fr Ligue 1,27,1996,16.5,473,641,73.8,7533,2758,224,265,84.5,199,249,79.9,27,86,31.4,0,1.0,1.1,-1.0,12,40,18,8,55,Matches,marcus coco,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
551,Saúl Coco,gq EQG,DC,Las Palmas,es La Liga,24,1999,25.5,1257,1422,88.4,20911,8245,587,620,94.7,598,646,92.6,53,116,45.7,0,0.0,0.2,0.0,1,52,0,0,69,Matches,saul coco,exact
552,Séamus Coleman,ie IRL,DD,Everton,eng Premier League,34,1988,7.4,207,306,67.6,3381,1481,111,132,84.1,76,103,73.8,16,51,31.4,0,1.0,0.7,-1.0,3,15,4,2,22,Matches,seamus coleman,exact
553,Maxime Colin,fr FRA,DD,Metz,fr Ligue 1,31,1991,20.4,660,925,71.4,11318,5363,307,381,80.6,285,372,76.6,52,122,42.6,0,0.4,0.6,-0.4,4,60,7,5,67,Matches,maxime colin,exact
554,Nathan Collins,ie IRL,DC,Brentford,eng Premier League,22,2001,29.5,1261,1552,81.3,23470,8772,462,528,87.5,660,757,87.2,116,214,54.2,1,2.2,1.1,-1.2,11,78,6,0,97,Matches,nathan collins,exact
555,Nnamdi Collins,de GER,DD,Eint Frankfurt,de Bundesliga,19,2004,1.0,61,75,81.3,1011,387,23,26,88.5,35,39,89.7,2,7,28.6,0,0.0,0.1,0.0,0,8,0,0,13,Matches,nnamdi collins,exact
556,Lorenzo Colombo,it ITA,BU,Monza,it Serie A,21,2002,15.1,185,263,70.3,2711,593,104,139,74.8,48,66,72.7,16,22,72.7,1,0.6,0.5,+0.4,8,10,3,0,24,Matches,lorenzo colombo,exact
557,Andrea Colpani,it ITA,MOC,Monza,it Serie A,24,1999,29.5,752,981,76.7,14005,3225,333,379,87.9,296,370,80.0,102,176,58.0,4,5.0,4.6,-1.0,56,55,41,9,120,Matches,andrea colpani,exact
558,Levi Colwill,eng ENG,DG,Chelsea,eng Premier League,20,2003,20.0,965,1163,83.0,16310,5939,444,495,89.7,456,508,89.8,51,117,43.6,1,1.2,0.5,-0.2,7,82,6,0,73,Matches,levi colwill,exact
559,Kingsley Coman,fr FRA,AD,Bayern Munich,de Bundesliga,27,1996,12.4,528,647,81.6,8358,1597,285,330,86.4,206,233,88.4,26,45,57.8,3,3.8,4.5,-0.8,29,19,41,8,72,Matches,kingsley coman,exact
560,Eray Cömert,ch SUI,DC,Nantes,fr Ligue 1,25,1998,22.2,941,1064,88.4,18882,6076,298,320,93.1,506,534,94.8,118,178,66.3,0,0.2,0.4,-0.2,4,57,4,2,57,Matches,eray comert,exact
561,Santi Comesaña,es ESP,MC,Villarreal,es La Liga,26,1996,18.4,752,868,86.6,12845,3509,358,396,90.4,319,360,88.6,58,78,74.4,0,2.0,1.3,-2.0,12,80,8,0,92,Matches,santi comesana,exact
562,Pietro Comuzzo,it ITA,DEF,Fiorentina,it Serie A,18,2005,0.5,27,38,71.1,550,154,5,11,45.5,21,24,87.5,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches,pietro comuzzo,exact
563,Alois Confais,fr FRA,MIL,Le Havre,fr Ligue 1,26,1996,0.1,7,9,77.8,74,5,7,8,87.5,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,alois confais,exact
564,Andrea Consigli,it ITA,G,Sassuolo,it Serie A,36,1987,35.0,838,1235,67.9,24440,17449,126,126,100.0,395,402,98.3,311,700,44.4,0,0.0,0.1,0.0,0,15,2,0,1,Matches,andrea consigli,exact
565,Bambasé Conté,de GER,MIL,Hoffenheim,de Bundesliga,20,2003,0.5,19,24,79.2,228,61,14,15,93.3,4,6,66.7,1,3,33.3,0,0.0,0.0,0.0,1,3,1,0,2,Matches,bambase conte,exact
566,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27,1996,0.2,4,4,100.0,66,38,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,nikita contini baranovsky,original
567,Lewis Cook,eng ENG,MDC,Bournemouth,eng Premier League,26,1997,31.0,1135,1487,76.3,20294,6864,458,539,85.0,539,616,87.5,112,257,43.6,3,4.3,3.0,-1.3,46,138,20,4,142,Matches,lewis cook,exact
568,Copete,es ESP,DC,Mallorca,es La Liga,23,1999,14.8,449,584,76.9,8887,3089,155,180,86.1,230,268,85.8,57,117,48.7,1,0.8,0.5,+0.2,4,46,6,3,52,Matches,copete,lastname:jose manuel copete
569,Diego Coppola,it ITA,DC,Hellas Verona,it Serie A,19,2003,18.2,555,718,77.3,11563,4450,151,189,79.9,324,369,87.8,78,142,54.9,0,0.2,0.1,-0.2,4,33,0,0,40,Matches,diego coppola,exact
570,Francis Coquelin,fr FRA,MC,Villarreal,es La Liga,32,1991,10.1,379,431,87.9,6421,1616,173,188,92.0,169,184,91.8,30,41,73.2,0,0.1,0.6,-0.1,1,37,7,1,47,Matches,francis coquelin,exact
571,Tommaso Corazza,it ITA,DD,Bologna,it Serie A,19,2004,2.2,119,145,82.1,1781,648,68,74,91.9,38,41,92.7,8,17,47.1,0,0.1,0.2,-0.1,1,7,4,3,14,Matches,tommaso corazza,exact
572,Theo Corbeanu,ca CAN,MIL,Granada,es La Liga,21,2002,2.0,37,60,61.7,639,147,21,27,77.8,8,17,47.1,6,11,54.5,0,0.0,0.2,0.0,0,5,2,2,5,Matches,theo corbeanu,exact
573,Jeppe Corfitzen,dk DEN,ATT,Lecce,it Serie A,18,2004,0.1,2,3,66.7,33,0,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,jeppe corfitzen,exact
574,Jack Cork,eng ENG,MIL,Burnley,eng Premier League,34,1989,0.3,25,33,75.8,370,77,13,16,81.3,10,10,100.0,1,3,33.3,0,0.0,0.0,0.0,0,5,0,0,4,Matches,jack cork,exact
575,Maxwel Cornet,ci CIV,MD,West Ham,eng Premier League,26,1996,1.2,36,49,73.5,407,70,27,34,79.4,6,8,75.0,0,1,0.0,0,0.2,0.0,-0.2,4,0,0,0,2,Matches,maxwel cornet,fuzzy:maxwell cornet
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
576,Giacomo Corona,it ITA,ATT,Empoli,it Serie A,19,2004,0.1,2,2,100.0,41,0,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,giacomo corona,exact
577,Jesús Corona,mx MEX,MIL,Sevilla,es La Liga,30,1993,0.2,9,14,64.3,106,14,6,7,85.7,3,6,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,jesus corona,exact
578,Ángel Correa,ar ARG,BU,Atlético Madrid,es La Liga,28,1995,17.0,379,516,73.4,4856,1162,249,301,82.7,85,110,77.3,18,46,39.1,2,3.6,3.8,-1.6,32,29,23,2,61,Matches,angel correa,exact
579,Joaquín Correa,ar ARG,BU,Marseille,fr Ligue 1,28,1994,4.8,131,167,78.4,2086,576,61,80,76.3,60,62,96.8,7,9,77.8,0,0.7,0.6,-0.7,5,10,11,0,25,Matches,joaquin correa,exact
580,Thierry Correia,pt POR,DD,Valencia,es La Liga,24,1999,23.9,1017,1340,75.9,16699,6810,546,608,89.8,369,462,79.9,85,209,40.7,2,2.1,2.5,-0.1,18,70,29,11,80,Matches,thierry correia,exact
581,Oscar Cortés,co COL,ATT,Lens,fr Ligue 1,19,2003,0.5,18,26,69.2,217,36,13,19,68.4,3,4,75.0,0,1,0.0,1,0.7,0.1,+0.3,1,1,1,1,2,Matches,oscar cortes,exact
582,Danny da Costa,de GER,MD,Mainz 05,de Bundesliga,30,1993,9.2,317,470,67.4,5513,2576,144,177,81.4,126,193,65.3,37,69,53.6,1,1.2,1.3,-0.2,9,27,16,9,40,Matches,danny da costa,exact
583,David Costa,pt POR,MOC,Lens,fr Ligue 1,22,2001,16.6,570,726,78.5,9004,2375,277,318,87.1,216,266,81.2,41,74,55.4,2,3.5,3.1,-1.5,26,51,26,7,73,Matches,david costa,fuzzy:david da costa
584,Jaume Costa,es ESP,DLG,Mallorca,es La Liga,35,1988,18.7,615,834,73.7,9676,4167,345,385,89.6,217,291,74.6,43,115,37.4,1,1.2,1.2,-0.2,19,36,21,14,50,Matches,jaume costa,exact
585,João Costa,br BRA,ATT,Roma,it Serie A,18,2005,0.2,7,9,77.8,100,43,4,4,100.0,3,3,100.0,0,1,0.0,0,0.0,0.1,0.0,1,0,1,0,1,Matches,joao costa,exact
586,Logan Costa,cv CPV,DC,Toulouse,fr Ligue 1,22,2001,29.4,1491,1784,83.6,29121,12198,511,559,91.4,768,868,88.5,181,302,59.9,1,0.6,0.7,+0.4,6,129,6,2,145,Matches,logan costa,exact
587,Samu Costa,pt POR,MC,Mallorca,es La Liga,22,2000,25.6,830,1087,76.4,15302,3901,357,433,82.4,359,432,83.1,99,153,64.7,1,0.5,1.0,+0.5,12,77,11,4,93,Matches,samu costa,exact
588,Benoît Costil,fr FRA,G,Salernitana,it Serie A,36,1987,13.0,258,428,60.3,7748,6197,48,49,98.0,109,111,98.2,101,267,37.8,0,0.0,0.0,0.0,1,4,0,0,0,Matches,benoit costil,exact
589,Grégoire Coudert,fr FRA,G,Brest,fr Ligue 1,24,1999,2.0,55,80,68.8,1658,1275,7,7,100.0,28,28,100.0,20,45,44.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches,gregoire coudert,exact
590,Vladimír Coufal,cz CZE,DD,West Ham,eng Premier League,30,1992,34.8,1154,1665,69.3,18778,9229,596,669,89.1,448,627,71.5,84,254,33.1,7,4.0,3.0,+3.0,33,98,38,21,119,Matches,vladimir coufal,exact
591,Lassana Coulibaly,ml MLI,MC,Salernitana,it Serie A,27,1996,23.1,736,873,84.3,11985,3305,358,400,89.5,305,347,87.9,52,68,76.5,1,0.8,0.9,+0.2,11,80,6,2,88,Matches,lassana coulibaly,exact
592,Mamadou Coulibaly,sn SEN,MD,Salernitana,it Serie A,24,1999,0.0,1,3,33.3,6,1,1,3,33.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,mamadou coulibaly,exact
593,Mamadou Coulibaly,fr FRA,MD,Monaco,fr Ligue 1,19,2004,1.3,56,70,80.0,800,158,32,42,76.2,21,24,87.5,2,2,100.0,0,0.1,0.1,-0.1,1,6,1,0,5,Matches,mamadou coulibaly,exact
594,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,22,2001,6.9,137,172,79.7,1831,305,81,89,91.0,41,54,75.9,3,7,42.9,0,0.8,0.6,-0.8,9,6,4,0,13,Matches,tanguy coulibaly,original
595,Thibaut Courtois,be BEL,G,Real Madrid,es La Liga,31,1992,3.7,113,123,91.9,2675,1889,25,25,100.0,63,63,100.0,24,34,70.6,0,0.1,0.0,-0.1,1,1,0,0,0,Matches,thibaut courtois,exact
596,Philippe Coutinho,br BRA,MIL,Aston Villa,eng Premier League,31,1992,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,4,0,0,5,Matches,philippe coutinho,exact
597,Yan Couto,br BRA,DEF,Girona,es La Liga,21,2002,24.9,1057,1354,78.1,16640,4090,566,644,87.9,406,512,79.3,63,117,53.8,8,4.2,4.3,+3.8,27,62,34,17,97,Matches,yan couto,exact
598,Nicolas Cozza,fr FRA,DG,Nantes,fr Ligue 1,24,1999,9.9,270,366,73.8,4703,1884,127,152,83.6,109,140,77.9,27,52,51.9,0,0.6,0.5,-0.6,3,27,5,1,20,Matches,nicolas cozza,exact
599,Nicolas Cozza,fr FRA,DG,Wolfsburg,de Bundesliga,24,1999,3.1,147,192,76.6,2373,782,76,88,86.4,61,79,77.2,8,18,44.4,0,0.1,0.2,-0.1,2,19,2,2,16,Matches,nicolas cozza,exact
600,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29,1994,3.0,69,100,69.0,1856,1253,16,16,100.0,28,28,100.0,24,55,43.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,alessio cragno,original
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,player,original
601,Crespo,pt POR,MDC,Rayo Vallecano,es La Liga,26,1996,5.9,230,273,84.2,3360,1147,126,142,88.7,85,100,85.0,11,18,61.1,0,1.0,0.5,-1.0,6,31,5,0,30,Matches,crespo,lastname:miguel crespo
602,Aaron Cresswell,eng ENG,DG,West Ham,eng Premier League,33,1989,4.8,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,Matches,aaron cresswell,exact
603,Bryan Cristante,it ITA,MC,Roma,it Serie A,28,1995,36.5,1785,2178,82.0,31740,9730,777,895,86.8,818,924,88.5,154,242,63.6,4,2.9,3.1,+1.1,30,229,37,6,234,Matches,bryan cristante,exact
604,Cristian,es ESP,GK,Valencia,es La Liga,25,1998,0.6,13,18,72.2,294,213,3,3,100.0,8,8,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches,cristian,original
605,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,31,1992,18.5,712,941,75.7,12473,5357,345,382,90.3,287,387,74.2,75,145,51.7,1,0.4,0.6,+0.6,5,69,9,3,77,Matches,juan cruz armada,original
606,Juan Cruz,ar ARG,MIL,Hellas Verona,it Serie A,24,1999,1.2,18,27,66.7,211,78,16,22,72.7,1,2,50.0,1,2,50.0,0,0.1,0.1,-0.1,1,1,0,0,4,Matches,juan cruz,exact
607,Juan Cruz,es ESP,MIL,Betis,es La Liga,23,2000,0.8,15,20,75.0,187,49,13,15,86.7,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,1,0,3,0,3,Matches,juan cruz,exact
