Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,name_norm,match_type
802,Hugo Ekitike,fr FRA,BU,Eint Frankfurt,de Bundesliga,21,2002,8.0,11,7,3,6,2,4,6,66.7,2,10,0,10,2,13,4,0,Matches,hugo ekitike,exact
803,Emmanuel Ekong,se SWE,ATT,Empoli,it Serie A,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,emmanuel ekong,exact
804,Caleb Ekuban,gh GHA,BU,Genoa,it Serie A,29,1994,12.6,8,4,2,4,2,5,9,55.6,4,11,3,8,1,9,7,0,Matches,caleb ekuban,exact
805,Anthony Elanga,se SWE,AD,Nott'ham Forest,eng Premier League,21,2002,27.0,33,19,20,6,7,17,37,45.9,20,22,2,20,8,41,20,1,Matches,anthony elanga,exact
806,Simon Elisor,fr FRA,BU,Metz,fr Ligue 1,24,1999,8.5,9,2,3,2,4,2,6,33.3,4,6,1,5,0,9,9,0,Matches,simon elisor,exact
807,Harvey Elliott,eng ENG,MC,Liverpool,eng Premier League,20,2003,15.0,27,17,8,14,5,10,31,32.3,21,27,0,27,6,33,7,0,Matches,harvey elliott,exact
808,Elif Elmas,mk MKD,MOC,Napoli,it Serie A,23,1999,3.8,4,3,1,3,0,2,2,100.0,0,2,0,2,2,6,8,0,Matches,elif elmas,fuzzy:eljif elmas
809,Elif Elmas,mk MKD,MOC,RB Leipzig,de Bundesliga,23,1999,3.0,8,6,1,6,1,6,8,75.0,2,5,0,5,1,9,2,0,Matches,elif elmas,fuzzy:eljif elmas
810,Mohamed Elneny,eg EGY,MIL,Arsenal,eng Premier League,31,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches,mohamed elneny,exact
811,Aritz Elustondo,es ESP,DC,Real Sociedad,es La Liga,29,1994,9.0,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0,Matches,aritz elustondo,exact
812,Nico Elvedi,ch SUI,DC,Gladbach,de Bundesliga,26,1996,27.6,33,18,22,10,1,18,24,75.0,6,40,25,15,43,76,150,2,Matches,nico elvedi,exact
813,Adri Embarba,es ESP,AG,Almería,es La Liga,31,1992,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,Matches,adri embarba,fuzzy:adrian embarba
814,Breel Embolo,ch SUI,BU,Monaco,fr Ligue 1,26,1997,2.0,3,3,0,2,1,1,4,25.0,3,1,0,1,1,4,2,0,Matches,breel embolo,exact
815,Emanuel Emegha,nl NED,BU,Strasbourg,fr Ligue 1,20,2003,23.1,8,5,2,4,2,4,9,44.4,5,13,3,10,2,10,25,0,Matches,emanuel emegha,exact
816,Emerson,br BRA,DG,Tottenham,eng Premier League,24,1999,12.9,36,24,23,10,3,21,43,48.8,22,23,10,13,20,56,50,1,Matches,emerson,exact
817,Youssef En-Nesyri,ma MAR,BU,Sevilla,es La Liga,26,1997,28.6,10,7,3,4,3,0,10,0.0,10,9,1,8,7,17,29,1,Matches,youssef en-nesyri,exact
818,Julio Enciso,py PAR,MOC,Brighton,eng Premier League,19,2004,5.3,6,2,3,2,1,2,7,28.6,5,11,0,11,0,6,3,0,Matches,julio enciso,exact
819,Wataru Endo,jp JPN,MC,Liverpool,eng Premier League,30,1993,19.1,48,28,11,31,6,20,61,32.8,41,24,2,22,20,68,31,3,Matches,wataru endo,exact
820,Arne Engels,be BEL,MD,Augsburg,de Bundesliga,19,2003,15.6,33,18,15,14,4,12,29,41.4,17,23,1,22,15,48,21,0,Matches,arne engels,exact
821,Christian Eriksen,dk DEN,MDC,Manchester Utd,eng Premier League,31,1992,12.7,18,13,5,10,3,12,33,36.4,21,17,6,11,4,22,13,0,Matches,christian eriksen,exact
822,Martin Erlic,hr CRO,DC,Sassuolo,it Serie A,25,1998,29.1,37,22,26,8,3,20,30,66.7,10,31,16,15,28,65,128,1,Matches,martin erlic,exact
823,Gonzalo Escalante,ar ARG,MIL,Cádiz,es La Liga,30,1993,18.9,39,24,16,14,9,20,55,36.4,35,23,5,18,26,65,33,2,Matches,gonzalo escalante,exact
824,Aarón Escandell,es ESP,G,Las Palmas,es La Liga,27,1995,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,aaron escandell,exact
825,Alfonso Espino,uy URU,DG,Rayo Vallecano,es La Liga,31,1992,27.9,67,45,43,22,2,30,82,36.6,52,26,4,22,40,107,63,0,Matches,alfonso espino,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
826,Bernardo Espinosa,co COL,DEF,Girona,es La Liga,34,1989,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches,bernardo espinosa,exact
827,Maxime Estève,fr FRA,DC,Burnley,eng Premier League,21,2002,14.5,27,10,15,12,0,18,32,56.3,14,21,10,11,27,54,56,0,Matches,maxime esteve,exact
828,Maxime Estève,fr FRA,DC,Montpellier,fr Ligue 1,21,2002,11.1,16,12,11,5,0,10,15,66.7,5,13,9,4,18,34,50,0,Matches,maxime esteve,exact
829,Oscar Estupiñan,co COL,BU,Metz,fr Ligue 1,26,1996,2.9,5,4,0,3,2,1,2,50.0,1,2,0,2,0,5,0,0,Matches,oscar estupinan,exact
830,Pervis Estupiñán,ec ECU,DG,Brighton,eng Premier League,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0,Matches,pervis estupinan,exact
831,Karl Etta,cm CMR,FW,Cádiz,es La Liga,19,2003,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,karl etta,original
832,Jonny Evans,nir NIR,DC,Manchester Utd,eng Premier League,35,1988,15.5,22,14,20,2,0,12,21,57.1,9,25,18,7,23,45,76,0,Matches,jonny evans,exact
833,Eberechi Eze,eng ENG,MOC,Crystal Palace,eng Premier League,25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0,Matches,eberechi eze,exact
834,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches,abde ezzalzouli,original
835,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,Matches,abde ezzalzouli,original
836,Giovanni Fabbian,it ITA,MC,Bologna,it Serie A,20,2003,11.7,17,10,9,7,1,7,12,58.3,5,5,2,3,7,24,11,0,Matches,giovanni fabbian,exact
837,Łukasz Fabiański,pl POL,G,West Ham,eng Premier League,38,1985,8.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0,Matches,łukasz fabianski,exact
838,Nicolò Fagioli,it ITA,MC,Juventus,it Serie A,22,2001,4.9,5,3,1,3,1,3,7,42.9,4,3,0,3,4,9,1,0,Matches,nicolo fagioli,exact
839,Romain Faivre,fr FRA,MIL,Bournemouth,eng Premier League,25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches,romain faivre,exact
840,Romain Faivre,fr FRA,MIL,Lorient,fr Ligue 1,25,1998,16.1,13,6,5,4,4,6,15,40.0,9,6,1,5,7,20,3,1,Matches,romain faivre,exact
841,Ilhan Fakili,fr FRA,MOC,Clermont Foot,fr Ligue 1,17,2006,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches,ilhan fakili,exact
842,Radamel Falcao,co COL,BU,Rayo Vallecano,es La Liga,37,1986,4.5,7,5,1,5,1,1,3,33.3,2,2,0,2,3,10,4,0,Matches,radamel falcao,exact
843,Wladimiro Falcone,it ITA,G,Lecce,it Serie A,28,1995,38.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,21,2,Matches,wladimiro falcone,exact
844,Fali,es ESP,DC,Cádiz,es La Liga,29,1993,28.3,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120,0,Matches,fali,exact
845,Davide Faraoni,it ITA,MD,Hellas Verona,it Serie A,31,1991,6.7,13,10,5,6,2,7,10,70.0,3,9,5,4,6,19,21,0,Matches,davide faraoni,lastname:marco faraoni
846,Davide Faraoni,it ITA,MD,Fiorentina,it Serie A,31,1991,4.4,9,4,5,2,2,5,11,45.5,6,3,1,2,5,14,14,0,Matches,davide faraoni,lastname:marco faraoni
847,Ansu Fati,es ESP,AG,Brighton,eng Premier League,20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,Matches,ansu fati,exact
848,Ansu Fati,es ESP,AG,Barcelona,es La Liga,20,2002,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,ansu fati,exact
849,Khalil Fayad,fr FRA,AG,Montpellier,fr Ligue 1,19,2004,11.4,28,15,17,7,4,9,22,40.9,13,15,3,12,14,42,6,0,Matches,khalil fayad,exact
850,Federico Fazio,ar ARG,DC,Salernitana,it Serie A,36,1987,15.1,18,11,14,4,0,8,14,57.1,6,22,19,3,17,35,99,1,Matches,federico fazio,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
851,Jacopo Fazzini,it ITA,MC,Empoli,it Serie A,20,2003,13.7,49,25,27,13,9,30,53,56.6,23,21,3,18,12,61,18,0,Matches,jacopo fazzini,exact
852,Nabil Fekir,fr FRA,MOC,Betis,es La Liga,30,1993,11.7,15,10,5,7,3,5,10,50.0,5,9,0,9,7,22,3,0,Matches,nabil fekir,exact
853,Felipe,br BRA,DC,Nott'ham Forest,eng Premier League,34,1989,4.2,12,9,9,3,0,9,12,75.0,3,4,1,3,4,16,12,0,Matches,felipe,exact
854,Luiz Felipe,it ITA,DC,Betis,es La Liga,26,1997,4.0,7,3,5,2,0,4,5,80.0,1,10,4,6,4,11,16,0,Matches,luiz felipe,exact
855,João Félix,pt POR,ATT,Barcelona,es La Liga,23,1999,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11,0,Matches,joao felix,exact
856,Ohis Felix Uduokhai,de GER,DC,Augsburg,de Bundesliga,25,1997,32.5,37,21,18,14,5,16,25,64.0,9,45,35,10,46,83,178,2,Matches,ohis felix uduokhai,lastname:felix uduokhai
857,Kiko Femenía,es ESP,DD,Villarreal,es La Liga,32,1991,17.6,35,25,19,13,3,19,34,55.9,15,21,6,15,31,66,45,0,Matches,kiko femenia,exact
858,Evan Ferguson,ie IRL,BU,Brighton,eng Premier League,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0,Matches,evan ferguson,exact
859,Lewis Ferguson,sct SCO,MOC,Bologna,it Serie A,23,1999,30.1,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27,1,Matches,lewis ferguson,exact
860,Bruno Fernandes,pt POR,MOC,Manchester Utd,eng Premier League,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2,Matches,bruno fernandes,exact
861,Edimilson Fernandes,ch SUI,DC,Mainz 05,de Bundesliga,27,1996,14.3,25,16,15,9,1,16,24,66.7,8,14,6,8,22,47,52,0,Matches,edimilson fernandes,exact
862,Aitor Fernández,es ESP,G,Osasuna,es La Liga,32,1991,6.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches,aitor fernandez,exact
863,Álex Fernández,es ESP,MC,Cádiz,es La Liga,30,1992,14.3,19,9,10,9,0,11,22,50.0,11,17,5,12,15,34,30,0,Matches,alex fernandez,exact
864,Carlos Fernández,es ESP,BU,Real Sociedad,es La Liga,27,1996,4.5,11,7,3,6,2,0,2,0.0,2,4,0,4,0,11,5,0,Matches,carlos fernandez,exact
865,Enzo Fernández,ar ARG,MDC,Chelsea,eng Premier League,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,Matches,enzo fernandez,exact
866,Raúl Fernández,es ESP,G,Granada,es La Liga,35,1988,3.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,2,Matches,raul fernandez,exact
867,Valery Fernández,es ESP,MG,Girona,es La Liga,23,1999,5.6,11,9,4,7,0,6,8,75.0,2,6,1,5,1,12,4,0,Matches,valery fernandez,exact
868,Fernando,es ESP,MDC,Almería,es La Liga,33,1990,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches,fernando,exact
869,Fernando,br BRA,MDC,Sevilla,es La Liga,36,1987,5.1,9,8,2,4,3,5,9,55.6,4,2,0,2,7,16,9,0,Matches,fernando,exact
870,Ichem Ferrah,fr FRA,ATT,Lille,fr Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ichem ferrah,exact
871,Andrea Ferraris,it ITA,ATT,Monza,it Serie A,20,2003,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,andrea ferraris,exact
872,André Ferreira,pt POR,G,Granada,es La Liga,27,1996,14.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,2,Matches,andre ferreira,exact
873,João Ferreira,pt POR,DC,Udinese,it Serie A,22,2001,20.2,58,42,36,18,4,34,58,58.6,24,27,6,21,29,87,89,0,Matches,joao ferreira,exact
874,Jordan Ferri,fr FRA,MDC,Montpellier,fr Ligue 1,31,1992,22.6,36,22,16,17,3,20,67,29.9,47,19,1,18,13,49,23,0,Matches,jordan ferri,exact
875,Nacho Ferri,es ESP,MDC,Eint Frankfurt,de Bundesliga,18,2004,0.8,3,3,1,2,0,2,3,66.7,1,0,0,0,0,3,2,0,Matches,nacho ferri,lastname:jordan ferri
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
876,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,rachad fettal,original
877,Seydou Fini,it ITA,MIL,Genoa,it Serie A,17,2006,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,seydou fini,exact
878,Max Finkgräfe,de GER,DG,Köln,de Bundesliga,19,2004,19.5,65,39,40,25,0,39,74,52.7,35,35,10,25,22,87,39,0,Matches,max finkgrafe,exact
879,Vincenzo Fiorillo,it ITA,G,Salernitana,it Serie A,33,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,vincenzo fiorillo,exact
880,Kilian Fischer,de GER,MD,Wolfsburg,de Bundesliga,22,2000,3.2,8,6,4,3,1,2,5,40.0,3,8,1,7,1,9,12,0,Matches,kilian fischer,exact
881,John Fleck,sct SCO,MC,Sheffield Utd,eng Premier League,31,1991,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches,john fleck,exact
882,Mark Flekken,nl NED,G,Brentford,eng Premier League,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1,Matches,mark flekken,exact
883,Alessandro Florenzi,it ITA,DG,Milan,it Serie A,32,1991,19.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1,Matches,alessandro florenzi,exact
884,Phil Foden,eng ENG,AD,Manchester City,eng Premier League,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,Matches,phil foden,exact
885,Wes Foderingham,eng ENG,G,Sheffield Utd,eng Premier League,32,1991,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18,6,Matches,wes foderingham,exact
886,Malick Fofana,be BEL,BU,Lyon,fr Ligue 1,18,2005,6.2,5,4,3,1,1,4,9,44.4,5,3,0,3,5,10,9,0,Matches,malick fofana,exact
887,Youssouf Fofana,fr FRA,MC,Monaco,fr Ligue 1,24,1999,30.0,61,39,19,36,6,30,66,45.5,36,35,7,28,37,98,31,1,Matches,youssouf fofana,exact
888,Jonas Föhrenbach,de GER,DG,Heidenheim,de Bundesliga,27,1996,31.0,44,24,24,14,6,19,36,52.8,17,34,19,15,31,75,70,0,Matches,jonas fohrenbach,exact
889,Thomas Foket,be BEL,DD,Reims,fr Ligue 1,28,1994,20.4,32,17,21,8,3,20,45,44.4,25,34,12,22,25,57,36,0,Matches,thomas foket,exact
890,Michael Folorunsho,it ITA,MOC,Hellas Verona,it Serie A,25,1998,30.9,50,28,21,22,7,23,57,40.4,34,45,12,33,17,67,44,2,Matches,michael folorunsho,exact
891,Tiago Fonseca Morais,pt POR,ATT,Lille,fr Ligue 1,19,2003,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches,tiago fonseca morais,lastname:tiago morais
892,Pablo Fornals,es ESP,MG,West Ham,eng Premier League,27,1996,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0,Matches,pablo fornals,exact
893,Pablo Fornals,es ESP,MG,Betis,es La Liga,27,1996,12.8,24,16,8,11,5,12,22,54.5,10,14,0,14,22,46,10,2,Matches,pablo fornals,exact
894,Emil Forsberg,se SWE,MOC,RB Leipzig,de Bundesliga,31,1991,5.2,7,3,2,5,0,5,12,41.7,7,7,0,7,0,7,5,0,Matches,emil forsberg,exact
895,Omari Forson,eng ENG,AD,Manchester Utd,eng Premier League,19,2004,0.8,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches,omari forson,lastname:omari nathan forson
896,Philipp Förster,de GER,MG,Bochum,de Bundesliga,28,1995,4.3,9,5,3,4,2,2,6,33.3,4,3,0,3,7,16,3,0,Matches,philipp forster,exact
897,Héctor Fort,es ESP,DG,Barcelona,es La Liga,16,2006,3.5,6,5,5,1,0,4,10,40.0,6,0,0,0,2,8,4,0,Matches,hector fort,exact
898,Lyle Foster,za RSA,BU,Burnley,eng Premier League,22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0,Matches,lyle foster,exact
899,Dimitri Foulquier,fr FRA,DD,Valencia,es La Liga,30,1993,20.5,39,22,22,13,4,18,26,69.2,8,10,1,9,16,55,49,1,Matches,dimitri foulquier,exact
900,Juan Foyth,ar ARG,DD,Villarreal,es La Liga,25,1998,11.8,26,15,18,8,0,12,27,44.4,15,17,4,13,12,38,44,0,Matches,juan foyth,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
901,Matheus França,br BRA,MG,Crystal Palace,eng Premier League,19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0,Matches,matheus franca,exact
902,Bartol Franjić,hr CRO,MC,Darmstadt 98,de Bundesliga,23,2000,13.7,15,12,4,10,1,7,28,25.0,21,12,4,8,30,45,29,2,Matches,bartol franjic,exact
903,Przemysław Frankowski,pl POL,MD,Lens,fr Ligue 1,28,1995,24.4,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36,0,Matches,przemysław frankowski,exact
904,Nathan Fraser,ie IRL,BU,Wolves,eng Premier League,18,2005,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2,0,Matches,nathan fraser,exact
905,Davide Frattesi,it ITA,MC,Inter,it Serie A,23,1999,10.6,10,6,3,7,0,4,8,50.0,4,9,3,6,5,15,19,0,Matches,davide frattesi,exact
906,Morten Frendrup,dk DEN,MC,Genoa,it Serie A,22,2001,34.9,133,72,47,70,16,55,91,60.4,36,55,14,41,51,184,42,1,Matches,morten frendrup,exact
907,Remo Freuler,ch SUI,MIL,Bologna,it Serie A,31,1992,29.2,78,50,41,32,5,38,69,55.1,31,37,9,28,36,114,53,2,Matches,remo freuler,exact
908,Marco Friedl,at AUT,DC,Werder Bremen,de Bundesliga,25,1998,24.4,53,32,38,15,0,36,48,75.0,12,45,29,16,35,88,129,0,Matches,marco friedl,exact
909,Marvin Friedrich,de GER,DC,Gladbach,de Bundesliga,27,1995,17.4,23,15,16,6,1,12,20,60.0,8,28,20,8,17,40,87,0,Matches,marvin friedrich,exact
910,Jeremie Frimpong,nl NED,MD,Leverkusen,de Bundesliga,22,2000,25.0,26,17,12,7,7,8,20,40.0,12,26,0,26,7,33,17,0,Matches,jeremie frimpong,exact
911,Jorge de Frutos,es ESP,AD,Rayo Vallecano,es La Liga,26,1997,17.2,19,8,5,8,6,7,22,31.8,15,12,0,12,7,26,18,0,Matches,jorge de frutos,exact
912,Chris Führich,de GER,AG,Stuttgart,de Bundesliga,25,1998,28.5,30,19,6,14,10,16,37,43.2,21,31,0,31,7,37,7,0,Matches,chris fuhrich,exact
913,Shiō Fukuda,jp JPN,ATT,Gladbach,de Bundesliga,19,2004,0.4,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,Matches,shio fukuda,exact
914,Angelo Fulgini,fr FRA,MOC,Lens,fr Ligue 1,26,1996,15.3,23,14,6,13,4,11,19,57.9,8,22,1,21,8,31,11,0,Matches,angelo fulgini,exact
915,Niclas Füllkrug,de GER,BU,Werder Bremen,de Bundesliga,30,1993,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0,Matches,niclas fullkrug,exact
916,Niclas Füllkrug,de GER,BU,Dortmund,de Bundesliga,30,1993,24.6,7,2,1,6,0,2,8,25.0,6,17,4,13,2,9,25,0,Matches,niclas fullkrug,exact
917,Gerardo Fusco,it ITA,ATT,Salernitana,it Serie A,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,gerardo fusco,exact
918,Daniel Fuzato,br BRA,G,Getafe,es La Liga,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,daniel fuzato,exact
919,Matteo Gabbia,it ITA,DC,Milan,it Serie A,23,1999,14.2,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48,0,Matches,matteo gabbia,exact
920,Matteo Gabbia,it ITA,DC,Villarreal,es La Liga,23,1999,5.3,10,6,4,6,0,5,8,62.5,3,5,2,3,8,18,36,1,Matches,matteo gabbia,exact
921,Gianluca Gaetano,it ITA,MOC,Cagliari,it Serie A,23,2000,8.3,7,4,0,4,3,2,7,28.6,5,4,0,4,3,10,4,0,Matches,gianluca gaetano,exact
922,Gianluca Gaetano,it ITA,MOC,Napoli,it Serie A,23,2000,1.8,4,1,0,4,0,2,4,50.0,2,5,2,3,1,5,4,0,Matches,gianluca gaetano,exact
923,Roberto Gagliardini,it ITA,MC,Monza,it Serie A,29,1994,26.2,61,30,27,25,9,31,50,62.0,19,30,11,19,31,92,38,0,Matches,roberto gagliardini,exact
924,Cody Gakpo,nl NED,BU,Liverpool,eng Premier League,24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,Matches,cody gakpo,exact
925,Javi Galán,es ESP,DG,Atlético Madrid,es La Liga,28,1994,1.0,5,4,2,2,1,4,5,80.0,1,1,0,1,1,6,3,0,Matches,javi galan,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
926,Javi Galán,es ESP,DG,Real Sociedad,es La Liga,28,1994,11.9,38,22,15,19,4,15,30,50.0,15,24,1,23,14,52,17,1,Matches,javi galan,exact
927,Iñigo Ruiz de Galarreta,es ESP,MDC,Athletic Club,es La Liga,29,1993,23.2,49,31,15,26,8,24,49,49.0,25,18,5,13,12,61,17,0,Matches,inigo ruiz de galarreta,exact
928,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,26,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,pablo galdames millan,original
929,Conor Gallagher,eng ENG,MDC,Chelsea,eng Premier League,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,Matches,conor gallagher,exact
930,Antonino Gallo,it ITA,DG,Lecce,it Serie A,23,2000,27.7,43,27,31,11,1,31,49,63.3,18,34,9,25,25,68,67,0,Matches,antonino gallo,exact
931,Cristian Gamboa,cr CRC,DD,Bochum,de Bundesliga,33,1989,13.2,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34,1,Matches,cristian gamboa,exact
932,Kévin Gameiro,fr FRA,BU,Strasbourg,fr Ligue 1,36,1987,15.0,10,10,5,3,2,2,17,11.8,15,9,0,9,3,13,7,0,Matches,kevin gameiro,exact
933,Idrissa Gana Gueye,sn SEN,MC,Everton,eng Premier League,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16,0,Matches,idrissa gana gueye,exact
934,Ignatius Ganago,cm CMR,AD,Nantes,fr Ligue 1,24,1999,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches,ignatius ganago,exact
935,Aleix García,es ESP,MDC,Girona,es La Liga,26,1997,35.5,49,28,17,26,6,28,54,51.9,26,45,17,28,36,85,53,3,Matches,aleix garcia,exact
936,Álvaro García,es ESP,AG,Rayo Vallecano,es La Liga,30,1992,27.5,34,25,15,10,9,7,34,20.6,27,35,0,35,36,70,33,0,Matches,alvaro garcia,exact
937,Dani García,es ESP,MDC,Athletic Club,es La Liga,33,1990,8.3,17,11,4,7,6,12,24,50.0,12,9,3,6,8,25,11,0,Matches,dani garcia,exact
938,David García,es ESP,DC,Osasuna,es La Liga,29,1994,25.9,29,18,19,9,1,16,26,61.5,10,40,19,21,18,47,115,2,Matches,david garcia,exact
939,Eric García,es ESP,DC,Barcelona,es La Liga,22,2001,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,eric garcia,exact
940,Eric García,es ESP,DC,Girona,es La Liga,22,2001,29.3,55,37,34,18,3,34,49,69.4,15,36,18,18,30,85,79,2,Matches,eric garcia,exact
941,Fran Garcia,es ESP,DG,Real Madrid,es La Liga,23,1999,15.5,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28,1,Matches,fran garcia,exact
942,Gonzalo García,es ESP,ATT,Real Madrid,es La Liga,19,2004,0.2,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,Matches,gonzalo garcia,exact
943,Jastin García,es ESP,ATT,Girona,es La Liga,19,2004,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches,jastin garcia,exact
944,Raúl García,es ESP,BU,Athletic Club,es La Liga,37,1986,4.7,9,6,2,4,3,4,9,44.4,5,10,1,9,3,12,9,0,Matches,raul garcia,exact
945,Rubén García,es ESP,BU,Osasuna,es La Liga,30,1993,17.2,32,18,8,17,7,13,33,39.4,20,23,3,20,12,44,23,0,Matches,ruben garcia,exact
946,Santiago García,es ESP,MIL,Getafe,es La Liga,21,2001,0.3,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches,santiago garcia,fuzzy:santi garcia
947,Ulisses Garcia,ch SUI,DG,Marseille,fr Ligue 1,27,1996,10.1,21,16,6,13,2,13,20,65.0,7,8,3,5,7,28,13,2,Matches,ulisses garcia,exact
948,Unai García,es ESP,DC,Osasuna,es La Liga,31,1992,6.2,12,9,9,2,1,5,10,50.0,5,7,1,6,8,20,18,0,Matches,unai garcia,exact
