Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,name_norm,match_type
11,Zakaria Aboukhlal,ma MAR,MOC,Toulouse,fr Ligue 1,23,2000,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0,Matches,zakaria aboukhlal,exact
12,Abdel Abqar,ma MAR,DC,Alavés,es La Liga,24,1999,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0,Matches,abdel abqar,lastname:abdelkabir abqar
13,Tammy Abraham,eng ENG,BU,Roma,it Serie A,25,1997,2.7,3,1,0,1,2,0,0,,0,1,0,1,0,3,4,0,Matches,tammy abraham,exact
14,Francesco Acerbi,it ITA,DC,Inter,it Serie A,35,1988,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1,Matches,francesco acerbi,exact
15,Joshua Acheampong,eng ENG,DEF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,0,0,0,0,,0,3,3,0,0,0,0,0,Matches,joshua acheampong,fuzzy:josh acheampong
16,Marcos Acuña,ar ARG,DG,Sevilla,es La Liga,31,1991,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0,Matches,marcos acuna,exact
17,Akor Adams,ng NGA,BU,Montpellier,fr Ligue 1,23,2000,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0,Matches,akor adams,exact
18,Tyler Adams,us USA,MDC,Bournemouth,eng Premier League,24,1999,1.3,4,3,1,3,0,2,3,66.7,1,2,0,2,4,8,2,0,Matches,tyler adams,exact
19,Junior Adamu,at AUT,ATT,Freiburg,de Bundesliga,22,2001,1.2,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,2,0,Matches,junior adamu,exact
20,Sargis Adamyan,am ARM,BU,Köln,de Bundesliga,30,1993,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0,Matches,sargis adamyan,exact
21,Tosin Adarabioyo,eng ENG,DC,Fulham,eng Premier League,25,1997,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0,Matches,tosin adarabioyo,exact
22,Elijah Adebayo,eng ENG,BU,Luton Town,eng Premier League,25,1998,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0,Matches,elijah adebayo,exact
23,Karim Adeyemi,de GER,BU,Dortmund,de Bundesliga,21,2002,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0,Matches,karim adeyemi,exact
24,Simon Adingra,ci CIV,AD,Brighton,eng Premier League,21,2002,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0,Matches,simon adingra,exact
25,Nathaniel Adjei,gh GHA,DC,Lorient,fr Ligue 1,20,2002,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1,Matches,nathaniel adjei,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
26,Amine Adli,ma MAR,MOC,Leverkusen,de Bundesliga,23,2000,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0,Matches,amine adli,exact
27,Yacine Adli,fr FRA,MDC,Milan,it Serie A,23,2000,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,Matches,yacine adli,exact
28,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches,adryelson,original
29,Adson,br BRA,MOC,Nantes,fr Ligue 1,22,2000,2.6,7,6,1,6,0,2,2,100.0,0,5,0,5,2,9,2,0,Matches,adson,exact
30,Michel Aebischer,ch SUI,MDC,Bologna,it Serie A,26,1997,24.8,35,20,9,20,6,15,34,44.1,19,28,6,22,12,47,22,0,Matches,michel aebischer,exact
31,Emmanuel Agbadou,ci CIV,DC,Reims,fr Ligue 1,26,1997,28.8,65,41,38,23,4,44,64,68.8,20,47,25,22,55,120,116,1,Matches,emmanuel agbadou,exact
32,Julen Agirrezabala,es ESP,G,Athletic Club,es La Liga,22,2000,2.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,julen agirrezabala,exact
33,Lucien Agoume,fr FRA,MIL,Inter,it Serie A,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,lucien agoume,exact
34,Lucien Agoume,fr FRA,MIL,Sevilla,es La Liga,21,2002,8.6,23,18,7,14,2,9,12,75.0,3,6,1,5,7,30,8,0,Matches,lucien agoume,exact
35,Felix Agu,ng NGA,MG,Werder Bremen,de Bundesliga,23,1999,17.9,45,29,28,13,4,29,41,70.7,12,27,7,20,13,58,41,0,Matches,felix agu,exact
36,Nayef Aguerd,ma MAR,DC,West Ham,eng Premier League,27,1996,20.6,26,14,19,7,0,16,22,72.7,6,33,24,9,17,43,85,2,Matches,nayef aguerd,exact
37,Ruben Aguilar,fr FRA,MD,Lens,fr Ligue 1,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,Matches,ruben aguilar,exact
38,Brandon Aguilera,cr CRC,MIL,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,brandon aguilera,exact
39,Naouirou Ahamada,fr FRA,MIL,Crystal Palace,eng Premier League,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,Matches,naouirou ahamada,exact
40,Anel Ahmedhodžić,ba BIH,DC,Sheffield Utd,eng Premier League,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,34,98,137,2,Matches,anel ahmedhodzic,exact
41,Joseph Aidoo,gh GHA,DC,Celta Vigo,es La Liga,27,1995,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0,Matches,joseph aidoo,exact
42,Ola Aina,ng NGA,DG,Nott'ham Forest,eng Premier League,26,1996,18.8,47,31,31,12,4,29,40,72.5,11,19,3,16,18,65,51,1,Matches,ola aina,exact
43,Rayan Aït-Nouri,dz ALG,MG,Wolves,eng Premier League,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,Matches,rayan ait-nouri,exact
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0,Matches,tosin aiyegun,original
45,Kristoffer Ajer,no NOR,DC,Brentford,eng Premier League,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,Matches,kristoffer ajer,exact
46,Ludovic Ajorque,fr FRA,BU,Mainz 05,de Bundesliga,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0,Matches,ludovic ajorque,exact
47,Manuel Akanji,ch SUI,DC,Manchester City,eng Premier League,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3,Matches,manuel akanji,exact
48,Marley Aké,fr FRA,MIL,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,marley ake,exact
49,Nathan Aké,nl NED,DC,Manchester City,eng Premier League,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0,Matches,nathan ake,exact
50,Ilias Akhomach,ma MAR,MD,Villarreal,es La Liga,19,2004,16.8,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13,0,Matches,ilias akhomach,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
51,Sergio Akieme,es ESP,DG,Almería,es La Liga,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,Matches,sergio akieme,exact
52,Sergio Akieme,es ESP,DG,Reims,fr Ligue 1,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25,0,Matches,sergio akieme,exact
53,Ebenezer Akinsanmiro,ng NGA,MIL,Inter,it Serie A,18,2004,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,ebenezer akinsanmiro,fuzzy:ebenezer ajodun akinsanmiro
54,Maghnes Akliouche,fr FRA,MOC,Monaco,fr Ligue 1,21,2002,17.9,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0,Matches,maghnes akliouche,exact
55,Paul Akouokou,ci CIV,MDC,Betis,es La Liga,25,1997,0.3,5,3,0,2,3,3,3,100.0,0,3,1,2,1,6,1,0,Matches,paul akouokou,exact
56,Paul Akouokou,ci CIV,MDC,Lyon,fr Ligue 1,25,1997,3.4,14,9,2,10,2,6,7,85.7,1,5,1,4,6,20,11,0,Matches,paul akouokou,exact
57,Jean-Daniel Akpa-Akpro,ci CIV,MC,Monza,it Serie A,30,1992,7.8,20,11,14,4,2,3,9,33.3,6,10,4,6,12,32,15,1,Matches,jean-daniel akpa-akpro,fuzzy:jean-daniel akpa akpro
58,David Akpan Ankeye,ng NGA,ATT,Genoa,it Serie A,21,2002,0.6,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches,david akpan ankeye,lastname:david ankeye
59,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,35,18,22,12,1,26,35,74.3,9,28,8,20,18,53,32,0,Matches,kevin akpoguma,original
60,David Alaba,at AUT,DC,Real Madrid,es La Liga,31,1992,12.8,13,9,7,5,1,4,8,50.0,4,10,7,3,15,28,34,0,Matches,david alaba,exact
61,Luis Alberto,es ESP,MC,Lazio,it Serie A,30,1992,25.7,35,20,16,12,7,15,53,28.3,38,34,4,30,7,42,13,0,Matches,luis alberto,exact
62,Raúl Albiol,es ESP,DC,Villarreal,es La Liga,37,1985,22.6,25,14,15,9,1,18,27,66.7,9,31,24,7,16,41,102,0,Matches,raul albiol,exact
63,Thiago Alcántara,es ESP,MC,Liverpool,eng Premier League,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,thiago alcantara,lastname:alberto risco alcantara
64,Carlos Alcaraz,ar ARG,MC,Juventus,it Serie A,20,2002,4.2,6,6,0,6,0,5,10,50.0,5,5,2,3,5,11,4,0,Matches,carlos alcaraz,exact
65,Rubén Alcaraz,es ESP,MC,Cádiz,es La Liga,32,1991,34.8,97,59,39,52,6,50,121,41.3,71,60,14,46,33,130,55,2,Matches,ruben alcaraz,exact
66,Omar Alderete,py PAR,DC,Getafe,es La Liga,26,1996,24.4,28,21,15,13,0,19,35,54.3,16,30,18,12,13,41,111,0,Matches,omar alderete,exact
67,Iván Alejo,es ESP,MD,Cádiz,es La Liga,28,1995,18.8,40,23,23,11,6,17,57,29.8,40,20,0,20,7,47,17,0,Matches,ivan alejo,exact
68,Carles Aleñá,es ESP,MD,Getafe,es La Liga,25,1998,11.3,24,8,7,14,3,10,24,41.7,14,14,3,11,4,28,13,0,Matches,carles alena,exact
69,Trent Alexander-Arnold,eng ENG,DD,Liverpool,eng Premier League,24,1998,23.9,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5,Matches,trent alexander-arnold,exact
70,Aboubacar Ali,km COM,MIL,Strasbourg,fr Ligue 1,17,2006,1.4,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0,Matches,aboubacar ali,lastname:sofiane sidi ali
71,Mohamed Ali Cho,fr FRA,BU,Real Sociedad,es La Liga,19,2004,2.8,4,3,3,1,0,2,7,28.6,5,6,0,6,1,5,1,0,Matches,mohamed ali cho,fuzzy:mohamed-ali cho
72,Mohamed Ali Cho,fr FRA,BU,Nice,fr Ligue 1,19,2004,9.6,12,9,4,7,1,3,11,27.3,8,10,0,10,3,15,6,0,Matches,mohamed ali cho,fuzzy:mohamed-ali cho
73,Faride Alidou,de GER,AD,Köln,de Bundesliga,22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1,Matches,faride alidou,exact
74,Nabil Alioui,fr FRA,MOC,Le Havre,fr Ligue 1,24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0,Matches,nabil alioui,exact
75,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,Matches,alisson,original
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
76,Tadeo Allende,ar ARG,MD,Celta Vigo,es La Liga,24,1999,3.7,6,1,3,2,1,4,6,66.7,2,3,0,3,3,9,3,0,Matches,tadeo allende,exact
77,Jim Allevinah,ga GAB,MG,Clermont Foot,fr Ligue 1,28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0,Matches,jim allevinah,exact
78,Domingos André Ribeiro Almeida,pt POR,BU,Valencia,es La Liga,23,2000,10.7,25,15,9,12,4,9,19,47.4,10,13,1,12,6,31,5,0,Matches,domingos andre ribeiro almeida,lastname:andre almeida
79,Miguel Almirón,py PAR,BU,Newcastle Utd,eng Premier League,29,1994,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0,Matches,miguel almiron,exact
80,Pontus Almqvist,se SWE,BU,Lecce,it Serie A,24,1999,23.4,45,29,16,22,7,23,51,45.1,28,21,2,19,14,59,10,0,Matches,pontus almqvist,exact
81,Marcos Alonso,es ESP,DG,Barcelona,es La Liga,32,1990,2.8,5,3,2,3,0,3,4,75.0,1,2,0,2,4,9,6,0,Matches,marcos alonso,exact
82,Adrià Altimira,es ESP,DD,Villarreal,es La Liga,22,2001,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0,Matches,adria altimira,exact
83,Sergi Altimira,es ESP,MDC,Betis,es La Liga,21,2001,6.3,15,8,8,6,1,11,23,47.8,12,12,1,11,9,24,10,0,Matches,sergi altimira,exact
84,Edson Álvarez,mx MEX,MDC,West Ham,eng Premier League,25,1997,26.4,80,39,47,26,7,31,66,47.0,35,59,20,39,42,122,81,0,Matches,edson alvarez,exact
85,Gastón Álvarez,uy URU,DC,Getafe,es La Liga,23,2000,28.2,68,37,43,20,5,37,57,64.9,20,40,11,29,35,103,80,0,Matches,gaston alvarez,exact
86,Hugo Álvarez,es ESP,MG,Celta Vigo,es La Liga,20,2003,8.5,14,9,8,3,3,9,20,45.0,11,4,1,3,5,19,9,0,Matches,hugo alvarez,exact
87,Julián Álvarez,ar ARG,MOC,Manchester City,eng Premier League,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1,Matches,julian alvarez,exact
88,Yeray Álvarez,es ESP,DC,Athletic Club,es La Liga,28,1995,12.8,18,9,15,3,0,12,19,63.2,7,8,5,3,11,29,34,1,Matches,yeray alvarez,exact
89,Skelly Alvero,fr FRA,MC,Lyon,fr Ligue 1,21,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0,Matches,skelly alvero,exact
90,Skelly Alvero,fr FRA,MC,Werder Bremen,de Bundesliga,21,2002,1.4,6,4,1,5,0,3,3,100.0,0,3,1,2,1,7,1,0,Matches,skelly alvero,exact
91,Papa Amadou Diallo,sn SEN,MG,Metz,fr Ligue 1,19,2004,9.9,18,8,10,7,1,7,21,33.3,14,11,1,10,11,29,16,0,Matches,papa amadou diallo,fuzzy:pape amadou diallo
92,Selim Amallah,ma MAR,BU,Valencia,es La Liga,26,1996,6.7,17,12,7,7,3,3,9,33.3,6,13,0,13,11,28,6,0,Matches,selim amallah,exact
93,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,4.4,9,6,7,2,0,2,10,20.0,8,2,0,2,3,12,6,0,Matches,amath,original
94,Lorenzo Amatucci,it ITA,MIL,Fiorentina,it Serie A,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,lorenzo amatucci,exact
95,Jordan Amavi,fr FRA,DG,Brest,fr Ligue 1,29,1994,1.0,1,1,0,1,0,1,3,33.3,2,2,1,1,3,4,2,0,Matches,jordan amavi,exact
96,Zeki Amdouni,ch SUI,BU,Burnley,eng Premier League,22,2000,21.7,27,18,1,15,11,7,25,28.0,18,23,10,13,9,36,10,0,Matches,zeki amdouni,exact
97,Kelvin Amian,fr FRA,DD,Nantes,fr Ligue 1,25,1998,8.9,16,7,12,4,0,11,15,73.3,4,6,0,6,7,23,28,0,Matches,kelvin amian,exact
98,Bruno Amione,ar ARG,DC,Hellas Verona,it Serie A,21,2002,6.4,11,3,9,2,0,4,5,80.0,1,4,2,2,9,20,19,2,Matches,bruno amione,exact
99,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,11.1,23,11,13,6,4,15,23,65.2,8,9,2,7,11,34,34,2,Matches,michael amir murillo,original
100,Nadiem Amiri,de GER,MC,Mainz 05,de Bundesliga,26,1996,14.6,22,14,8,10,4,13,19,68.4,6,16,2,14,14,36,18,0,Matches,nadiem amiri,exact
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,player,original
101,Nadiem Amiri,de GER,MC,Leverkusen,de Bundesliga,26,1996,1.0,4,2,0,3,1,0,3,0.0,3,0,0,0,0,4,1,0,Matches,nadiem amiri,exact
102,Kofi Amoako,de GER,MIL,Wolfsburg,de Bundesliga,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,kofi amoako,exact
