Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
146,Marco Asensio,es ESP,BU,Paris S-G,fr Ligue 1,27.0,1996.0,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36.0,71.0,92.0,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,marco asensio,exact
147,Kristjan Asllani,al ALB,MC,Inter,it Serie A,21.0,2002.0,23,6,787,8.7,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.6,5.0,32.0,8.0,0.11,0.23,0.34,0.11,0.34,0.07,0.12,0.19,0.06,0.18,kristjan asllani,exact
148,Joel Asoro,se SWE,AD,Metz,fr Ligue 1,24.0,1999.0,20,10,848,9.4,2,1,3,2,0,0,2,0,0.6,0.6,0.3,0.9,14.0,16.0,43.0,0.21,0.11,0.32,0.21,0.32,0.06,0.03,0.09,0.06,0.09,joel asoro,exact
149,Jonathan Asp Jensen,dk DEN,MIL,Bayern Munich,de Bundesliga,17.0,2006.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jonathan asp jensen,fuzzy:jonathan asp-jensen
150,Iago Aspas,es ESP,BU,Celta Vigo,es La Liga,35.0,1987.0,35,31,2707,30.1,9,10,19,6,3,5,6,1,11.5,7.5,10.1,17.6,84.0,161.0,202.0,0.3,0.33,0.63,0.2,0.53,0.38,0.34,0.72,0.25,0.59,iago aspas,exact
151,Lorenz Assignon,tg TOG,DD,Burnley,eng Premier League,23.0,2000.0,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,38.0,34.0,57.0,0.07,0.15,0.22,0.07,0.22,0.03,0.19,0.22,0.03,0.22,lorenz assignon,exact
152,Lorenz Assignon,tg TOG,DD,Rennes,fr Ligue 1,23.0,2000.0,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.4,0.4,1.8,2.2,28.0,51.0,67.0,0.09,0.09,0.18,0.09,0.18,0.04,0.16,0.2,0.04,0.2,lorenz assignon,exact
153,Youcef Atal,dz ALG,DD,Nice,fr Ligue 1,27.0,1996.0,6,5,359,4.0,1,0,1,1,0,0,2,0,0.1,0.1,0.8,0.9,9.0,15.0,5.0,0.25,0.0,0.25,0.25,0.25,0.03,0.2,0.24,0.03,0.24,youcef atal,exact
154,Valentin Atangana Edoa,fr FRA,MC,Reims,fr Ligue 1,17.0,2005.0,15,7,555,6.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,10.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,valentin atangana edoa,exact
155,Arthur Atta,fr FRA,MC,Metz,fr Ligue 1,20.0,2003.0,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16.0,48.0,22.0,0.1,0.19,0.29,0.1,0.29,0.06,0.13,0.18,0.06,0.18,arthur atta,exact
156,Noah Atubolu,de GER,G,Freiburg,de Bundesliga,21.0,2002.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,noah atubolu,exact
157,Pierre-Emerick Aubameyang,ga GAB,ATT,Marseille,fr Ligue 1,34.0,1989.0,34,30,2622,29.1,17,8,25,13,4,4,4,0,20.5,17.3,5.6,23.0,68.0,58.0,235.0,0.58,0.27,0.86,0.45,0.72,0.7,0.19,0.9,0.59,0.79,pierre-emerick aubameyang,exact
158,Emil Audero,it ITA,G,Inter,it Serie A,26.0,1997.0,4,4,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,emil audero,fuzzy:emilio audero
159,Tommaso Augello,it ITA,DG,Cagliari,it Serie A,28.0,1994.0,32,28,2418,26.9,1,1,2,1,0,0,5,0,0.5,0.5,2.0,2.5,62.0,96.0,99.0,0.04,0.04,0.07,0.04,0.07,0.02,0.07,0.09,0.02,0.09,tommaso augello,exact
160,Carlos Augusto,br BRA,MG,Inter,it Serie A,24.0,1999.0,37,14,1725,19.2,0,3,3,0,0,0,1,0,1.0,1.0,2.8,3.9,42.0,54.0,88.0,0.0,0.16,0.16,0.0,0.16,0.05,0.15,0.2,0.05,0.2,carlos augusto,exact
