Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,name_norm,match_type
719,Junior Dina Ebimbe,fr FRA,MD,Eint Frankfurt,de Bundesliga,22.0,2000.0,31,25,1956,21.7,5,3,8,5,0,0,5,0,5.0,5.0,2.9,7.9,57.0,79.0,157.0,0.23,0.14,0.37,0.23,0.37,0.23,0.13,0.36,0.23,0.36,junior dina ebimbe,lastname:eric ebimbe
720,Eren Dinkçi,de GER,AD,Heidenheim,de Bundesliga,21.0,2001.0,33,33,2650,29.4,10,5,15,10,0,0,8,0,4.3,4.3,3.7,8.0,85.0,89.0,143.0,0.34,0.17,0.51,0.34,0.51,0.15,0.13,0.27,0.15,0.27,eren dinkci,exact
721,Sinaly Diomande,ci CIV,DC,Lyon,fr Ligue 1,22.0,2001.0,10,10,889,9.9,0,0,0,0,0,0,2,0,1.0,1.0,0.7,1.7,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,sinaly diomande,exact
722,Edan Diop,fr FRA,MIL,Monaco,fr Ligue 1,18.0,2004.0,10,0,163,1.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,edan diop,exact
723,Issa Diop,fr FRA,DC,Fulham,eng Premier League,26.0,1997.0,18,16,1424,15.8,0,0,0,0,0,0,4,1,0.3,0.3,0.0,0.3,11.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,issa diop,exact
724,Sofiane Diop,fr FRA,BU,Nice,fr Ligue 1,23.0,2000.0,10,6,499,5.5,0,0,0,0,0,0,0,0,1.2,1.2,0.8,2.0,20.0,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.22,0.14,0.36,0.22,0.36,sofiane diop,exact
725,Andy Diouf,fr FRA,MC,Lens,fr Ligue 1,20.0,2003.0,25,16,1314,14.6,1,0,1,1,0,0,2,0,1.5,1.5,1.1,2.6,63.0,80.0,55.0,0.07,0.0,0.07,0.07,0.07,0.1,0.08,0.18,0.1,0.18,andy diouf,exact
726,Yehvann Diouf,fr FRA,G,Reims,fr Ligue 1,23.0,1999.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yehvann diouf,exact
727,Axel Disasi,fr FRA,DC,Chelsea,eng Premier League,25.0,1998.0,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30.0,112.0,21.0,0.07,0.0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,axel disasi,exact
728,Tiago Djaló,pt POR,DEF,Juventus,it Serie A,23.0,2000.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tiago djalo,exact
729,Chaim El Djebali,tn TUN,MIL,Lyon,fr Ligue 1,19.0,2004.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,chaim el djebali,exact
730,Djené,tg TOG,"DF,MF",Getafe,es La Liga,31.0,1991.0,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.1,0.1,0.3,0.4,13.0,98.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,djene,original
731,Koffi Djidji,ci CIV,DC,Torino,it Serie A,30.0,1992.0,13,8,759,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,koffi djidji,exact
732,Berat Djimsiti,al ALB,DC,Atalanta,it Serie A,30.0,1993.0,37,32,2832,31.5,0,1,1,0,0,0,5,0,0.8,0.8,0.7,1.5,6.0,79.0,10.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,berat djimsiti,exact
733,Marko Dmitrović,rs SRB,G,Sevilla,es La Liga,31.0,1992.0,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,marko dmitrovic,exact
734,Ben Doak,sct SCO,ATT,Liverpool,eng Premier League,17.0,2005.0,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ben doak,exact
735,Ritsu Doan,jp JPN,MD,Freiburg,de Bundesliga,25.0,1998.0,30,26,2246,25.0,7,2,9,7,0,0,2,0,5.0,5.0,3.1,8.1,49.0,78.0,139.0,0.28,0.08,0.36,0.28,0.36,0.2,0.12,0.32,0.2,0.32,ritsu doan,exact
736,Lewis Dobbin,eng ENG,MG,Everton,eng Premier League,20.0,2003.0,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6.0,3.0,20.0,0.39,0.0,0.39,0.39,0.39,0.11,0.19,0.3,0.11,0.3,lewis dobbin,exact
737,Dodô,br BRA,DD,Fiorentina,it Serie A,24.0,1998.0,9,7,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,20.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.15,0.01,0.15,dodo,exact
738,Danilho Doekhi,nl NED,DC,Union Berlin,de Bundesliga,25.0,1998.0,24,24,2160,24.0,2,0,2,2,0,0,2,0,1.2,1.2,0.2,1.3,7.0,65.0,6.0,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,danilho doekhi,exact
739,Matt Doherty,ie IRL,MD,Wolves,eng Premier League,31.0,1992.0,30,9,1150,12.8,1,0,1,1,0,0,2,0,0.8,0.8,1.3,2.2,12.0,31.0,64.0,0.08,0.0,0.08,0.08,0.08,0.07,0.1,0.17,0.07,0.17,matt doherty,exact
740,Josh Doig,sct SCO,MG,Hellas Verona,it Serie A,21.0,2002.0,12,11,830,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,23.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,josh doig,exact
741,Josh Doig,sct SCO,MG,Sassuolo,it Serie A,21.0,2002.0,16,15,1343,14.9,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.3,30.0,33.0,45.0,0.0,0.13,0.13,0.0,0.13,0.01,0.08,0.09,0.01,0.09,josh doig,exact
742,Jeremy Doku,be BEL,AG,Manchester City,eng Premier League,21.0,2002.0,29,18,1595,17.7,3,8,11,3,0,0,3,0,2.5,2.5,4.6,7.1,218.0,57.0,295.0,0.17,0.45,0.62,0.17,0.62,0.14,0.26,0.4,0.14,0.4,jeremy doku,exact
743,Jeremy Doku,be BEL,AG,Rennes,fr Ligue 1,21.0,2002.0,2,1,111,1.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,11.0,5.0,19.0,0.81,0.0,0.81,0.81,0.81,0.48,0.16,0.64,0.48,0.64,jeremy doku,exact
744,Jaume Doménech,es ESP,G,Valencia,es La Liga,32.0,1990.0,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jaume domenech,exact
745,Carlos Dominguez,es ESP,DC,Celta Vigo,es La Liga,22.0,2001.0,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,11.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,carlos dominguez,exact
746,Mario Dominguez,es ESP,ATT,Valencia,es La Liga,19.0,2004.0,3,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,0.59,0.59,mario dominguez,exact
747,Nicolás Domínguez,ar ARG,MC,Nott'ham Forest,eng Premier League,25.0,1998.0,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1.0,2.3,14.0,91.0,43.0,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,nicolas dominguez,exact
748,Nicolás Domínguez,ar ARG,MC,Bologna,it Serie A,25.0,1998.0,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,nicolas dominguez,exact
749,Giulio Donati,it ITA,DEF,Monza,it Serie A,33.0,1990.0,4,0,36,0.4,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.46,0.51,0.05,0.51,giulio donati,exact
750,Jamie Donley,eng ENG,ATT,Tottenham,eng Premier League,18.0,2005.0,3,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jamie donley,exact
751,Gianluigi Donnarumma,it ITA,G,Paris S-G,fr Ligue 1,24.0,1999.0,25,25,2169,24.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gianluigi donnarumma,exact
752,Patrick Dorgu,dk DEN,DG,Lecce,it Serie A,18.0,2004.0,32,17,1564,17.4,2,0,2,2,0,0,6,0,2.0,2.0,1.6,3.6,37.0,49.0,86.0,0.12,0.0,0.12,0.12,0.12,0.11,0.09,0.21,0.11,0.21,patrick dorgu,exact
753,Niklas Dorsch,de GER,MDC,Augsburg,de Bundesliga,25.0,1998.0,21,16,1386,15.4,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,12.0,47.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,niklas dorsch,exact
754,Alberto Dossena,it ITA,DC,Cagliari,it Serie A,24.0,1998.0,35,33,2977,33.1,2,4,6,2,0,0,5,0,2.2,2.2,2.1,4.3,9.0,89.0,2.0,0.06,0.12,0.18,0.06,0.18,0.07,0.06,0.13,0.07,0.13,alberto dossena,exact
755,Carlos Dotor,es ESP,MC,Celta Vigo,es La Liga,22.0,2001.0,17,7,708,7.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,3.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,carlos dotor,exact
756,Abdoulaye Doucouré,ml MLI,MOC,Everton,eng Premier League,30.0,1993.0,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,abdoulaye doucoure,exact
757,Cheick Doucouré,ml MLI,MDC,Crystal Palace,eng Premier League,23.0,2000.0,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,9.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,cheick doucoure,exact
758,Siriné Doucouré,ml MLI,BU,Lorient,fr Ligue 1,21.0,2002.0,11,5,423,4.7,1,3,4,1,0,0,2,0,0.9,0.9,1.3,2.2,14.0,5.0,35.0,0.21,0.64,0.85,0.21,0.85,0.2,0.28,0.47,0.2,0.47,sirine doucoure,exact
759,Désiré Doué,fr FRA,MG,Rennes,fr Ligue 1,18.0,2005.0,31,17,1626,18.1,4,4,8,4,0,0,3,0,2.4,2.4,3.7,6.1,78.0,121.0,172.0,0.22,0.22,0.44,0.22,0.44,0.13,0.21,0.34,0.13,0.34,desire doue,exact
760,Guela Doué,ci CIV,DD,Rennes,fr Ligue 1,20.0,2002.0,24,13,1234,13.7,0,2,2,0,0,0,1,1,0.5,0.5,1.1,1.6,41.0,53.0,85.0,0.0,0.15,0.15,0.0,0.15,0.04,0.08,0.12,0.04,0.12,guela doue,exact
761,Alfie Doughty,eng ENG,MG,Luton Town,eng Premier League,23.0,1999.0,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94.0,106.0,164.0,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,alfie doughty,exact
762,Douglas,br BRA,MF,Nantes,fr Ligue 1,26.0,1997.0,25,22,1772,19.7,0,0,0,0,0,0,7,0,1.2,1.2,1.1,2.3,12.0,105.0,18.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,douglas,original
763,Ismaël Doukouré,fr FRA,MC,Strasbourg,fr Ligue 1,20.0,2003.0,22,19,1656,18.4,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,15.0,80.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,ismael doukoure,exact
764,Kamory Doumbia,ml MLI,MC,Brest,fr Ligue 1,20.0,2003.0,25,7,879,9.8,6,5,11,6,0,0,1,0,4.2,4.2,0.9,5.0,22.0,48.0,43.0,0.61,0.51,1.13,0.61,1.13,0.43,0.09,0.52,0.43,0.52,kamory doumbia,exact
765,Anastasios Douvikas,gr GRE,BU,Celta Vigo,es La Liga,23.0,1999.0,32,7,905,10.1,7,1,8,7,0,0,2,0,4.6,4.6,1.3,5.9,10.0,13.0,53.0,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59,anastasios douvikas,exact
766,Artem Dovbyk,ua UKR,BU,Girona,es La Liga,26.0,1997.0,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18.0,26.0,118.0,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84,artem dovbyk,exact
767,Nikola Dovedan,at AUT,MOC,Heidenheim,de Bundesliga,29.0,1994.0,21,5,656,7.3,3,1,4,3,0,0,0,1,1.9,1.9,0.6,2.6,12.0,22.0,25.0,0.41,0.14,0.55,0.41,0.55,0.26,0.09,0.35,0.26,0.35,nikola dovedan,exact
768,Damion Downs,us USA,ATT,Köln,de Bundesliga,19.0,2004.0,10,0,181,2.0,2,0,2,2,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,0.99,0.0,0.99,0.99,0.99,0.51,0.0,0.51,0.51,0.51,damion downs,exact
769,Tommy Doyle,eng ENG,MC,Wolves,eng Premier League,21.0,2001.0,26,11,1222,13.6,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.9,21.0,81.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,tommy doyle,lastname:thomas doyle
770,Radu Drăgușin,ro ROU,DC,Tottenham,eng Premier League,21.0,2002.0,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,radu dragusin,exact
771,Radu Drăgușin,ro ROU,DC,Genoa,it Serie A,21.0,2002.0,19,19,1710,19.0,2,1,3,2,0,0,1,0,1.0,1.0,0.8,1.9,6.0,29.0,13.0,0.11,0.05,0.16,0.11,0.16,0.05,0.04,0.1,0.05,0.1,radu dragusin,exact
772,Dion Drena Beljo,hr CRO,BU,Augsburg,de Bundesliga,21.0,2002.0,26,3,581,6.5,2,0,2,2,0,0,2,0,3.0,3.0,0.5,3.5,16.0,20.0,35.0,0.31,0.0,0.31,0.31,0.31,0.46,0.08,0.54,0.46,0.54,dion drena beljo,exact
773,Tim Drexler,de GER,DC,Hoffenheim,de Bundesliga,18.0,2005.0,8,6,573,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tim drexler,exact
774,Domingos Duarte,pt POR,DC,Getafe,es La Liga,28.0,1995.0,15,11,907,10.1,0,0,0,0,0,0,5,2,0.3,0.3,0.1,0.4,7.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,domingos duarte,exact
775,Rubén Duarte,es ESP,DG,Alavés,es La Liga,27.0,1995.0,28,21,1878,20.9,2,1,3,2,0,0,7,0,0.7,0.7,1.5,2.2,16.0,81.0,39.0,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1,ruben duarte,exact
776,Martin Dúbravka,sk SVK,G,Newcastle Utd,eng Premier League,34.0,1989.0,23,22,1985,22.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,martin dubravka,exact
777,Marvin Ducksch,de GER,BU,Werder Bremen,de Bundesliga,29.0,1994.0,33,32,2696,30.0,12,9,21,7,5,6,9,0,12.8,7.9,7.8,15.7,17.0,88.0,150.0,0.4,0.3,0.7,0.23,0.53,0.43,0.26,0.69,0.26,0.52,marvin ducksch,exact
778,Ondrej Duda,sk SVK,MIL,Hellas Verona,it Serie A,28.0,1994.0,32,29,2456,27.3,1,4,5,1,0,1,14,2,2.2,1.4,3.3,4.7,34.0,117.0,47.0,0.04,0.15,0.18,0.04,0.18,0.08,0.12,0.2,0.05,0.17,ondrej duda,exact
779,Denzel Dumfries,nl NED,MD,Inter,it Serie A,27.0,1996.0,31,19,1639,18.2,4,4,8,4,0,0,2,1,2.3,2.3,4.9,7.1,50.0,51.0,147.0,0.22,0.22,0.44,0.22,0.44,0.12,0.27,0.39,0.12,0.39,denzel dumfries,exact
780,Paul Dummett,wls WAL,DEF,Newcastle Utd,eng Premier League,31.0,1991.0,5,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,paul dummett,exact
781,Alfred Duncan,gh GHA,MDC,Fiorentina,it Serie A,30.0,1993.0,30,24,1888,21.0,2,5,7,2,0,0,2,0,1.5,1.5,2.0,3.5,23.0,133.0,47.0,0.1,0.24,0.33,0.1,0.33,0.07,0.1,0.17,0.07,0.17,alfred duncan,exact
782,Lewis Dunk,eng ENG,DC,Brighton,eng Premier League,31.0,1991.0,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4.0,33.0,152.0,13.0,0.09,0.03,0.13,0.09,0.13,0.1,0.03,0.12,0.1,0.12,lewis dunk,exact
783,Jhon Durán,co COL,BU,Aston Villa,eng Premier League,19.0,2003.0,23,3,475,5.3,5,0,5,5,0,0,5,0,2.0,2.0,0.3,2.3,9.0,9.0,25.0,0.95,0.0,0.95,0.95,0.95,0.38,0.06,0.44,0.38,0.44,jhon duran,exact
784,Julien Duranville,be BEL,ATT,Dortmund,de Bundesliga,17.0,2006.0,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,julien duranville,exact
785,Hugo Duro,es ESP,BU,Valencia,es La Liga,23.0,1999.0,37,35,2976,33.1,13,2,15,13,0,0,4,0,11.5,11.5,1.3,12.9,27.0,34.0,157.0,0.39,0.06,0.45,0.39,0.45,0.35,0.04,0.39,0.35,0.39,hugo duro,exact
786,Jean-Kevin Duverne,ht HAI,DG,Nantes,fr Ligue 1,26.0,1997.0,19,15,1348,15.0,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,18.0,64.0,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,jean-kevin duverne,exact
787,Paulo Dybala,ar ARG,BU,Roma,it Serie A,29.0,1993.0,28,25,1959,21.8,13,9,22,6,7,7,3,0,10.6,5.1,4.3,9.4,79.0,122.0,167.0,0.6,0.41,1.01,0.28,0.69,0.49,0.2,0.68,0.23,0.43,paulo dybala,exact
788,Aron Dønnum,no NOR,AD,Toulouse,fr Ligue 1,25.0,1998.0,27,19,1595,17.7,0,1,1,0,0,0,8,0,1.0,1.0,2.1,3.1,69.0,66.0,120.0,0.0,0.06,0.06,0.0,0.06,0.06,0.12,0.18,0.06,0.18,aron dønnum,exact
789,George Earthy,eng ENG,MIL,West Ham,eng Premier League,18.0,2004.0,3,0,34,0.4,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0.0,1.0,3.0,2.65,0.0,2.65,2.65,2.65,0.82,0.0,0.82,0.82,0.82,george earthy,lastname:george robert earthy
790,Simon Ebonog,cm CMR,MIL,Le Havre,fr Ligue 1,18.0,2004.0,4,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simon ebonog,exact
791,Festy Ebosele,ie IRL,MD,Udinese,it Serie A,20.0,2002.0,31,20,1700,18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,67.0,35.0,98.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,festy ebosele,exact
792,Enzo Ebosse,cm CMR,DEF,Udinese,it Serie A,24.0,1999.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,enzo ebosse,exact
793,Tyronne Ebuehi,ng NGA,DD,Empoli,it Serie A,27.0,1995.0,15,11,1099,12.2,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,34.0,37.0,35.0,0.0,0.08,0.08,0.0,0.08,0.02,0.07,0.1,0.02,0.1,tyronne ebuehi,exact
794,Ederson,br BRA,G,Manchester City,eng Premier League,29.0,1993.0,33,33,2785,30.9,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ederson,exact
795,Éderson,br BRA,G,Atalanta,it Serie A,24.0,1999.0,36,32,2869,31.9,6,1,7,6,0,0,8,0,3.5,3.5,1.4,4.9,32.0,214.0,50.0,0.19,0.03,0.22,0.19,0.22,0.11,0.04,0.15,0.11,0.15,ederson,exact
796,Odsonne Édouard,fr FRA,BU,Crystal Palace,eng Premier League,25.0,1998.0,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33.0,36.0,100.0,0.41,0.0,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43,odsonne edouard,exact
797,John Egan,ie IRL,DC,Sheffield Utd,eng Premier League,30.0,1992.0,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,john egan,exact
798,Maximilian Eggestein,de GER,MC,Freiburg,de Bundesliga,26.0,1996.0,33,33,2914,32.4,1,2,3,1,0,0,6,0,2.4,2.4,2.8,5.2,42.0,162.0,72.0,0.03,0.06,0.09,0.03,0.09,0.07,0.09,0.16,0.07,0.16,maximilian eggestein,exact
799,Lilian Egloff,de GER,MDC,Stuttgart,de Bundesliga,20.0,2002.0,5,1,106,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,lilian egloff,exact
800,Kingsley Ehizibue,nl NED,MD,Udinese,it Serie A,28.0,1995.0,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2.0,18.0,15.0,44.0,0.0,0.09,0.09,0.0,0.09,0.12,0.07,0.19,0.12,0.19,kingsley ehizibue,exact
801,Hjalmar Ekdal,se SWE,DC,Burnley,eng Premier League,24.0,1998.0,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,hjalmar ekdal,exact
802,Hugo Ekitike,fr FRA,BU,Paris S-G,fr Ligue 1,21.0,2002.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,hugo ekitike,exact
803,Hugo Ekitike,fr FRA,BU,Eint Frankfurt,de Bundesliga,21.0,2002.0,14,7,716,8.0,4,2,6,4,0,0,3,0,2.4,2.4,1.7,4.1,16.0,9.0,60.0,0.5,0.25,0.75,0.5,0.75,0.3,0.21,0.51,0.3,0.51,hugo ekitike,exact
804,Emmanuel Ekong,se SWE,ATT,Empoli,it Serie A,21.0,2002.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,emmanuel ekong,exact
805,Caleb Ekuban,gh GHA,BU,Genoa,it Serie A,29.0,1994.0,29,10,1131,12.6,4,1,5,4,0,0,0,0,2.9,2.9,1.4,4.2,14.0,15.0,93.0,0.32,0.08,0.4,0.32,0.4,0.23,0.11,0.34,0.23,0.34,caleb ekuban,exact
806,Anthony Elanga,se SWE,AD,Nott'ham Forest,eng Premier League,21.0,2002.0,36,25,2433,27.0,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98.0,49.0,196.0,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,anthony elanga,exact
807,Simon Elisor,fr FRA,BU,Metz,fr Ligue 1,24.0,1999.0,14,9,767,8.5,1,0,1,1,0,1,1,0,2.3,1.5,0.9,2.4,9.0,14.0,43.0,0.12,0.0,0.12,0.12,0.12,0.27,0.11,0.38,0.18,0.29,simon elisor,exact
808,Harvey Elliott,eng ENG,MC,Liverpool,eng Premier League,20.0,2003.0,34,11,1352,15.0,3,6,9,3,0,0,2,0,2.7,2.7,3.5,6.2,44.0,128.0,122.0,0.2,0.4,0.6,0.2,0.6,0.18,0.23,0.42,0.18,0.42,harvey elliott,exact
809,Elif Elmas,mk MKD,MOC,Napoli,it Serie A,23.0,1999.0,11,4,339,3.8,2,0,2,2,0,0,2,0,0.5,0.5,0.2,0.7,14.0,16.0,26.0,0.53,0.0,0.53,0.53,0.53,0.13,0.06,0.19,0.13,0.19,elif elmas,fuzzy:eljif elmas
810,Elif Elmas,mk MKD,MOC,RB Leipzig,de Bundesliga,23.0,1999.0,14,2,266,3.0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.27,0.04,0.31,0.27,0.31,elif elmas,fuzzy:eljif elmas
811,Mohamed Elneny,eg EGY,MIL,Arsenal,eng Premier League,31.0,1992.0,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,mohamed elneny,exact
