Name,Position
Eric Martel,MDC
Borja Iglesias,BU
Moritz Jenz,DC
Yannick Gerhardt,MC
Dominik Kohr,DC
Merlin Röhl,MOC
Silvan Widmer,MD
András Schäfer,MC
Tom Krauß,MC
Niels Nkounkou,MG
Noah Weißhaupt,MG
Max Finkgräfe,DG
Rubén Vargas,MOC
Felix Agu,MG
Jordan Siebatcheu,BU
Maximilian Bauer,DC
Aurélio Buta,MD
Jordy Makengo,DG
Marnon Busch,DD
Mads Pedersen,DG
Sven Michel,BU
Karim Adeyemi,BU
Omar Traoré,DD
Yorbe Vertessen,BU
Eren Dinkçi,AD
Umut Tohumcu,MC
Felix Passlack,DD
Benedikt Gimber,DC
Marvin Mehlem,MC
Marvin Pieringer,BU
Leonardo Bittencourt,MC
Cédric Zesiger,DC
Maximilian Wittek,MG
Stefan Lainer,DD
Dominique Heintz,DG
Denis Huseinbašić,MDC
Florian Kainz,MOC
Robert Gumny,DD
Tomáš Čvančara,BU
Marius Bülter,MG
Elvis Rexhbeçaj,MDC
Jan Thielmann,BU
Dejan Ljubičić,MDC
Linton Maina,AG
Lucas Tousart,MC
Christopher Antwi-Adjei,BU
Steffen Tigges,BU
Benedict Hollerbach,BU
Pavel Kadeřábek,MD
Anthony Losilla,MC
Luca Pfeiffer,BU
Christian Günter,MG
Rogério,DG
Norman Theuerkauf,MDC
Rani Khedira,MC
Stefan Bell,DC
Lennard Maloney,MDC
Jonas Föhrenbach,DG
Joe Scally,DD
Phillipp Mwene,MG
Ansgar Knauff,MOC
Christoph Klarer,DC
Aïssa Laïdouni,MC
Tobias Kempe,MC
Nicolai Rapp,DC
Josip Juranović,MD
Kevin Volland,BU
Erhan Mašović,DC
Alex Král,MC
Donny van de Beek,MOC
Kiliann Sildillia,DD
Leonardo Bonucci,DC
Karim Onisiwo,BU
Arne Engels,MD
Gio Reyna,AG
Olivier Deman,MG
Julián Malatini,DC
Sargis Adamyan,BU
Nicolas Cozza,DG
Marius Wolf,DD
Tim Breithaupt,MC
Christoph Zimmermann,DC
Patrick Wimmer,MG
Florian Pick,MC
Matthias Bader,MD
Brenden Aaronson,MC
Takuma Asano,BU
Christoph Baumgartner,MOC
Tim Skarke,BU
Timo Werner,MOC
Christian Groß,DC
Janik Haberer,MC
Tim Oermann,DD
Justin Diehl,AG
Jakub Kamiński,AG
Sheraldo Becker,BU
Tim Drexler,DC
Tom Bischof,MOC
Matej Maglica,DC
Nikola Dovedan,MOC
Fabian Holland,MC
Adrian Beck,MOC
Nelson Weiper,BU
Tim Siersleben,DC
Philipp Förster,MG
Tiago Tomás,BU
Faride Alidou,AD
Benno Erik Schmitz,DD
Luca Kilian,DC
Christopher Trimmel,MD
Jannik Müller,DC
Julian Justvan,MC
Leart Paqarada,DG
Danny da Costa,MD
Ludovic Ajorque,BU
Oscar Vilhelmsson,BU
Kevin Mbabu,DD
Rasmus Carstensen,DD
Sébastien Haller,BU
Mark Uth,MOC
Mikkel Kaufmann Sørensen,BU
Klaus Gjasula,DC
Nicolas Seiwald,MDC
Noah Loosli,DC
Finn Ole Becker,MOC
Emir Karić,MG
Stanley Nsoki,DC
Thomas Isherwood,DC
Fraser Hornby,BU
Moritz Broschinski,BU
Matúš Bero,MC
Dawid Kownacki,BU
Kilian Fischer,MD
Jessic Ngankam,BU
Jesper Lindstrøm,BU
Mërgim Berisha,BU
Sebastian Polter,BU
Attila Szalai,DC
Aaron Seydel,BU
David Datro Fofana,BU
Bartol Franjić,MC
Mathias Honsak,BU
Moritz-Broni Kwarteng,BU
Sebastian Rode,MC
Merveille Papela,MOC
Skelly Alvero,MC
Alexander Brunst-Zöllner,G
David Jurásek,MG
Denis Thomalla,MC
Gerrit Holtmann,MG
Aymen Barkok,AD
Braydon Manu,MC
Naby Keïta,MOC
Paxten Aaronson,MC
Lilian Egloff,MDC
Christoph Kramer,MC
Andreas Müller,MDC
Andreas Luthe,G
Sacha Boey,MG
Makoto Hasebe,MDC
Fabio Torsiello,BU
Kyu-Hyun Park,DEF
Kein Sato,ATT
Ryan Gravenberch,MIL
Felix Götze,MIL
Mahmut Kücüksahin,MIL
Lennart Grill,G
Falko Michel,MIL
Dennis Seimen,G
Tim Köhler,DEF
Melayro Bogarde,DEF
Mehdi Loune,MIL
Marian Kirsch,G
Marco John,MIL
Antonio Tikvić,DEF
Marin Pongračić,DEF
Hassan-Malick Sanogo,ATT
Micky van de Ven,DEF
Grant-Leon Ranos,ATT
Julian Rijkhoff,ATT
Diadié Samassékou,MIL
Timothy Chandler,MIL
Simon Martin Zoller,ATT
Yusuf Karhan Kabadayı,ATT
Ben Justus Bobzien,ATT
Vitus Eicher,G
Yvandro Borges Sanches,ATT
Benjamin Uphoff,G
Hannes Wolf,MIL
