Name,Position
Gabriel Suazo,DG
Jeffinho,AG
Morgan Sanson,MC
Jean-Louis Leca,G
Florent Mollet,MOC
Badredine Bouanani,MOC
Dejan Lovren,DC
Terem Moffi,BU
Frank Magri,BU
Pedro Chirivella,MC
Habib Diarra,MC
Ibrahim Salah,MG
Amadou Koné,MC
Pape Amadou Diallo,MG
Moses Simon,MOC
Adrien Truffert,DG
Tanguy Bemin Coulibaly,AG
Johann Lepenant,MDC
Fali Candé,DC
Andy Pelmard,DC
Nicolas Pallois,DC
Ablie Jallow,MOC
Akor Adams,BU
Andy Diouf,MC
Jérémy Le Douaron,BU
Fabian Rieder,MOC
Abakar Sylla,DC
Cheikh Sabaly,AG
Alidu Seidu,DC
Nathaniel Adjei,DC
Imrân Louza,MC
Keito Nakamura,BU
Oumar Diakité,BU
Saël Kumbedi,DD
Quentin Merlin,DG
Przemysław Frankowski,MD
Ulisses Garcia,DG
Sofiane Diop,BU
Denis Genreau,MC
Niklas Schmidt,MC
Julien Ponceau,MOC
Loïc Négo,MD
Shavy Babicka,AD
Vito Mannone,G
Khalil Fayad,AG
Koffi Kouao,DD
Vincent Le Goff,MG
Adson,MOC
Yassine Kechta,MC
Darlin Yongwa,MG
Kassoum Ouattara,DG
Kévin Keben,DC
Mama Baldé,BU
Siriné Doucouré,BU
Silvan Hefti,MD
Reda Khadra,BU
Jordan Ferri,MDC
Daler Kuzyaev,MC
Ivan Cavaleiro,AG
Hákon Haraldsson,AG
Mohamed Daramy,BU
Wahbi Khazri,AG
Ayman Kari,MOC
Junior Mwanga,MC
Bamba Dieng,BU
Marvin Senaya,DD
Ângelo,BU
Johan Gastien,MC
Arthur Atta,MC
Formose Mendy,DC
Lucas Mincarelli,DG
Aron Dønnum,AD
Maxime Gonalons,MC
Ernest Nuamah,BU
Salis Abdul Samed,MC
Rayan Cherki,MOC
Thomas Foket,DD
Luis Henrique,BU
Kevin Gameiro,BU
Lamine Camara,MC
Emanuel Emegha,BU
Florent Ogier,DC
Eli Junior Kroupi,BU
Jordan Lotomba,DD
Maxime Colin,DD
Ibrahima Sissoko,MC
Alexis Claude-Maurice,MC
Warren Kamanzi,MD
Massadio Haïdara,DC
Josué Casimir,BU
Valentin Atangana Edoa,MC
Mohamed Bayo,BU
Elbasan Rashani,MOC
Cheick Oumar Konaté,MD
Malick Fofana,BU
Ibrahim Diakité,DD
Marcus Coco,MD
Henrique,DG
Tiémoué Bakayoko,MC
Lebo Mothiba,BU
Nicolas Cozza,DG
Théo Le Bris,MG
Jim Allevinah,MG
Axel Gueguin,DLG
Maximiliano Caufriez,DC
Julien Laporte,DC
Ismaël Traoré,DC
Enzo Tchato,DD
Rabby Nzingoula,MC
Ismaël Doukouré,MC
Thomas Delaine,MG
Kévin N'Doram,MC
Pablo Pagis,MOC
Amine Salama,BU
Théo Sainte-Luce,DG
Samuel Umtiti,DC
Élysée Logbo,BU
Jean-Kévin Duverne,DG
Benjamin Tetteh,BU
Ignacio Miramón,MDC
Kelvin Amian,DD
Thibault De Smet,DG
Danley Jean-Jacques,MC
Moussa Sissoko,MOC
Benjamin Stambouli,MC
Bonke Innocent,MDC
Samuel Moutoussamy,MC
Bertuğ Yıldırım,BU
Moïse Sahi Dion,MOC
Kévin Van Den Kerkhof,MD
Nathan Zézé,DC
Óscar Estupiñán,BU
Jérémy Jacquet,DD
Maxime Busi,MD
Alan Virginius,BU
Simon Elisor,BU
Joel Asoro,AD
Didier Lamkel Zé,BU
Gédéon Kalulu,MD
Josh Wilson-Esbrand,DG
Amin Sarr,BU
Aiyegun Tosin,MOC
Oualid El Hajjam,DG
Faris Moumbagna,BU
Skelly Alvero,MC
Mehdi Zeffane,MD
Bénie Traoré,BU
Benjamin Mendy,MG
Romain Perraud,DG
Jean-Victor Makengo,MC
Yohann Magnin,MC
Tino Kadewere,BU
Billal Brahimi,BU
Panos Katseris,MD
Jhoanner Chávez,MG
Jessy Deminguet,MC
Malick Mbaye,MD
Aboubacar Ali Abdallah,BU
Ababacar Lô,MC
Ignatius Ganago,AD
Yanis Begraoui,MG
Komnen Andrić,BU
Antoine Joujou,AG
Habib Maïga,MC
Gift Orban,BU
Joseph Nduquidi,MC
Thérence Koudou,DD
Jérémie Bela,AG
Rémy Riou,G
Joaquín Correa,BU
Yoël Armougom,MG
François Mughe,MD
Rassoul Ndiaye,MC
Joel Mvuka,MD
Mahamadou Diawara,MC
Issa Soumaré,BU
Mamadou Diakhon,BU
Mahamadou Nagida,MG
Grejohn Kyei,BU
Igor Silva,DD
Loris Mouyokolo,DC
Achraf Dari,DC
Steve NGoura,BU
Léo Leroy,MDC
Aurélien Pelon,DC
Jérémy Sebas,MOC
Samuel Grandsir,MOC
Fabien Centonze,MD
Mamadou Coulibaly,MD
Ilhan Fakili,MOC
Yann Karamoh,BU
Ayyoub Bouaddi,MDC
Diego Moreira,AG
Faitout Maouassa,MG
Bastien Meupiyou,DC
Boubacar Traoré,MIL
Mokrane Bentoumi,MIL
Xhuliano Skuka,ATT
Djibrail Dib,ATT
Maïdine Douane,MIL
Saïd Hamulic,ATT
Mohamed Achi,MIL
Ibrahima Niane,ATT
Christ Emmanuel Letono Mbondi,ATT
Noah Françoise,MIL
Amay Caprice,DEF
Hugo Lamy,DEF
Teddy Boulhendi,G
Tetê,ATT
Gor Manvelyan,MIL
Mehdi Chahiri,ATT
Noah Edjouma,ATT
Gabriel Moscardo,MIL
Lucas Michal,ATT
Abdoulaye Ndiaye,DEF
Mohamed Bechikh,ATT
Lionel Messi,ATT
Dimitri Liénard,MIL
Ange Lago,ATT
Bartosz Żelazowski,G
Geoffrey Lembet,G
Lamine Diack,MIL
Enzo Couto,DEF
Arthur Rene Abdel Aziz Zagré,DEF
Enzo Garrido,G
Adam Buksa,ATT
Yakine Said M'Madi,DEF
Tommy Le Verge,DEF
Samuel Koeberlé,MIL
Kenny Nagera,ATT
Thomas Didillon-Hödl,G
Warren Tchimbembé,MIL
Léo Ripert,G
Luis Suárez,ATT
Valentin Rosier,DEF
Ritchy Valme,DEF
Kevin Volland,ATT
Lovro Majer,MIL
Florian Baranik,MIL
Houssem Aouar,MIL
Paul Argney,G
Marc-Aurèle Caillard,G
Alexandre Pierre,G
Mathieu Patouillet,G
Adrien Lebeau,MIL
Josué Escartin,DEF
Yuito Suzuki,MIL
Habib Diallo,ATT
Nehemiah Fernandez,DEF
Robin Voisine,DEF
Tidiane Diallo,ATT
Brecht Dejaegere,MIL
Nolan Ferro,MIL
Óscar Cortés,ATT
Jean Lucas,MIL
Yan Marillat,G
Adil Aouchiche,MIL
Taïryk Arconte,ATT
Ayoub Amraoui,DEF
Ado Onaiwu,ATT
Nicolas Wasbauer,DEF
Axel Camblan,MIL
Mohamed El Arouch,MIL
Sumaila Awudu,DEF
Eduard Sobol,DEF
Achraf Laaziri,DEF
Thiago Mendes,MIL
Álex Domínguez,G
Yoann Cathline,ATT
Anthony Bermont,ATT
Colin Dagba,DEF
Simon Ngapandouetnbu,G
Pathé Mboup,ATT
Kandet Diawara,MIL
Veljko Birmančević,MIL
Lucas Perri,G
Karl Toko-Ekambi,ATT
Mathis Oger,MIL
Lucas Lavallée,G
N'Dri Koffi,ATT
Darryl Bakola,MIL
Yann Lienard,G
Terence Kongolo,DEF
Gabriel Barès,MIL
Ikechukwu Orazi,ATT
Sekou Lega,ATT
Dario Marešić,DEF
Iuri Moreira,ATT
Martin Adeline,MIL
Harisson Marcelin,DEF
Vágner,ATT
Yllan Okou,DEF
Matys Donavin,DEF
Birger Meling,DEF
Ilyes Housni,ATT
Noah Diliberto,MIL
Miloš Luković,ATT
Djamal Moussadek,DEF
Saïmon Bouabré,MIL
Gelson Martins,MIL
Lohann Doucet,MIL
Nazim Babaï,DEF
Naël Jaby,MIL
Andrej Ilić,ATT
Marco Verratti,MIL
Akim Zedadka,DEF
Karol Fila,DEF
Nhoa Sangui,DEF
Jaouen Hadjam,DEF
Valon Berisha,MIL
Justin Bengui João,G
Mitchell van Bergen,ATT
Timothée Pembélé,DEF
Maxime Bastian,DEF
Karamoko Dembélé,ATT
Elias Damergy,G
Mattéo Guendouzi,MIL
Franci Bouebari,DEF
Alexander Djiku,DEF
Léo Jousselin,DEF
Edhy Zuliani,MIL
Sam Sanna,MIL
Mamady Bangré,MIL
Adryelson Silva,DEF
Cheick Doumbia,DEF
Alexis Beka Beka,MIL
Tasos Donis,ATT
Pol Lirola,DEF
