Name,Position
Tyrick Mitchell,DG
Dango Ouattara,DG
Mads Andersen,DC
Calvin Bassey,DC
Emil Krafth,DC
Kenny Tete,DD
Ryan Christie,MDC
Dwight McNeil,MG
Edson Álvarez,MDC
Matty Cash,DD
Anthony Elanga,AD
Chris Mepham,DC
Ryan Yates,MDC
Lucas Digne,DG
Rico Henry,DG
Arnaut Danjuma,MG
Facundo Buonanotte,AD
Saša Lukić,MDC
Pablo Sarabia,MOC
Abdoulaye Doucouré,MOC
Carlos Baleba,MDC
Sam Johnstone,G
Mahmoud Dahoud,MDC
Jordan Beyer,DC
Lisandro Martínez,DC
Lewis Cook,MDC
Frank Onyeka,MC
Ola Aina,DG
Murillo,DC
Radu Drăgușin,DC
Ben Godfrey,DD
Tim Ream,DC
Adam Smith,DD
Illia Zabarnyi,DC
James Hill,DG
Ben Mee,DC
Luke Shaw,DG
Rasmus Højlund,BU
Neco Williams,DD
Moussa Niakhaté,DC
Issa Diop,DC
Teden Mengi,DC
Nayef Aguerd,DC
Diego Carlos,DC
Wilson Odobert,MG
Sandro Tonali,MC
Joe Willock,MC
Elijah Adebayo,BU
Matz Sels,G
Vladimír Coufal,DD
Amari'i Bell,DC
Odysseas Vlachodimos,G
Reece Burke,DC
Raúl Jiménez,BU
João Gomes,MC
Ben Brereton,BU
Aaron Hickey,DD
Lewis Miley,MC
Sèrge Aurier,DD
Ivo Grbić,G
Aaron Ramsdale,G
Michael Keane,DC
Sofyan Amrabat,MDC
Nuno Tavares,DG
Will Hughes,MC
Lloyd Kelly,DG
Jason Steele,G
Joe Worrall,DC
Alex Scott,MOC
Gabriel Osho,DC
Angelo Ogbonna,DC
Oliver McBurnie,BU
Carlton Morris,BU
Jack Harrison,MD
Jacob Bruun Larsen,MG
Miguel Almirón,BU
Nathan Fraser,BU
Jakub Moder,MOC
Justin Kluivert,MOC
Séamus Coleman,DD
Andrew Omobamidele,DC
Danny Welbeck,BU
Keane Lewis-Potter,BU
Gio Reyna,AD
Andreas Pereira,MOC
Joel Ward,DD
Eric Dier,DC
Oscar Bobb,AG
Jay Rodríguez,BU
Nélson Semedo,MD
Charlie Taylor,DG
Jack Robinson,DC
Harry Wilson,AD
Harry Toffolo,DG
Carney Chukwuemeka,MOC
Josh Brownhill,MC
Ibrahim Sangaré,MC
Ben Chilwell,MG
Bobby Reid,AD
Maxime Estève,DC
Rodrigo Bentancur,MDC
Evan Ferguson,BU
Alfie Doughty,MG
Felipe,DC
Jurriën Timber,DG
Saša Kalajdžić,BU
Thomas Doyle,MC
Mads Roerslev,MD
Marvelous Nakamba,MC
Jeffrey Schlupp,AG
Max Aarons,DD
Alfie Gilchrist,DD
Mathias Jensen,MC
Nathan Patterson,DD
Miloš Kerkez,DG
Issa Kaboré,MD
Cameron Archer,BU
Omari Nathan Forson,AD
Orel Mangala,MC
Ansu Fati,AG
Philip Billing,MOC
Armando Broja,BU
Santiago Bueno,DC
Hjalmar Ekdal,DC
Christian Eriksen,MDC
Andros Townsend,MOC
Michail Antonio,BU
Lyle Foster,BU
Anel Ahmedhodžić,DC
Zeki Amdouni,BU
Vinicius Souza,MC
Anthony Martial,BU
Harrison Reed,MDC
Pablo Fornals,MG
Yasser Larouci,MG
Tahith Chong,MOC
Christopher Nkunku,BU
Auston Trusty,DC
Ian Maatsen,AD
George Baldock,DC
Ollie Arblaster,MC
Adam Lallana,MOC
David Datro Fofana,BU
Connor Roberts,DD
Gustavo Hamer,MC
Daniel Bentley,G
Jordan Clark,MOC
André Gomes,MC
Ashley Young,DD
Saman Ghoddos,DD
David Brooks,AD
Lorenz Assignon,DD
Jacob Brown,MOC
Boubacar Traoré,MC
Fábio Silva,BU
Mason Mount,MDC
Joe Rothwell,MDC
Victor Vitinho,DD
Jayden Bogle,MD
Jóhann Berg Guðmunds­son,MD
Beto,BU
Hannes Delcroix,DG
Chris Basham,DC
Ameen Al-Dakhil,DC
Ryan John Giles,MG
Shandon Baptiste,MC
Carlos Vinícius,BU
Oliver Norwood,MC
Bryan Gil,AG
Luke Thomas,MG
James McAtee,MD
Lesley Ugochukwu,MDC
Ionuț Radu,G
Ben Osborn,MG
Yehor Yarmoliuk,MC
Aaron Cresswell,DG
Ben Johnson,DD
Luca Koleosho,MG
Matt Targett,DG
Odeluga Offiah,DD
Mason Holgate,DC
Jean-Ricner Bellegarde,MC
John Egan,DC
Max Lowe,MG
Facundo Pellistri,AD
Nicolò Zaniolo,AG
Aaron Ramsey,MD
Jaïro Riedewald,MC
Tom Davies,MC
Cheikhou Kouyaté,MC
Jaidon Anthony,AG
Andre Chance Brooks,MC
Valentín Barco,DG
John Fleck,MC
Divock Origi,AD
Leon Chiwome,BU
Kalvin Phillips,MDC
Cauley Woodrow,BU
Bobby Clark,MC
Hugo Bueno,MG
Pelly Ruddock Mpanzu,MC
Lewis Dobbin,MG
Daiki Hashioka,DC
William Osula,BU
Willy Kambwala,DC
Rhys Norrington-Davies,DLG
Rhian Brewster,BU
Tim Iroegbunam,MDC
Anass Zaroury,BU
Mike Trésor,MG
Luke Berry,MC
Bénie Traoré,BU
Tawanda Chirewa,BU
Anis Ben Slimane,MOC
Matheus França,MG
Jhon Durán,BU
Benson Manuel,MD
Mark O'Mahony,BU
Fred Onyedinma,MD
Calum Chambers,MC
Adam Davies,G
César Azpilicueta,DEF
Sam Surridge,ATT
Mark Gillespie,G
James Wright,G
Iliman Ndiaye,ATT
Dion Sanderson,DEF
Davinson Sánchez,DEF
Scott Banks,ATT
Omar Rekik,DEF
Richie Laryea,DEF
Owen Dodgson,DEF
George Robert Earthy,MIL
Steven Alzate,MIL
Daniel Lewis Gore,MIL
Seb Revan,DEF
Alejo Véliz,ATT
Tom Heaton,G
Giulian Biancone,DEF
Ollie Harrison,MIL
Mads Bidstrup,MIL
Louie Barry,ATT
Alfie Whiteman,G
Han-Noah Massengo,MIL
Marc Leonard,MIL
Lyle Taylor,ATT
Aidan Francis-Clarke,DEF
Thilo Kehrer,DEF
Luke Mbete,DEF
Paul Dummett,DEF
Josh Bowler,MIL
Esapa Osong,ATT
Sam Adrian Proctor,G
Jake Cain,MIL
Aidan Harris,G
Tyrell Malacia,DEF
Matthew Craig,MIL
Moise Kean,ATT
Bruno Jordão,MIL
Ethan Horvath,G
Chem Campbell,MIL
Layton Stewart,ATT
Regan Clayton,DEF
Ryan Oné,ATT
Javier Manquillo,DEF
Harry Arter,MIL
Aaron Charlie Bott,G
Wesley Fofana,DEF
Charlie McNeill,ATT
Leigh Kavanagh,DEF
Tom Holmes,DEF
Aymeric Laporte,DEF
Harry Boyes,DEF
Michael Golding,MIL
Wesley Okoduwa,ATT
Maksim Paskotši,DEF
Nico O'Reilly,MIL
Gustavo Scarpa,MIL
Ashley Phillips,DEF
Bobby Craig Thomas,DEF
Ziyad Larkeche,DEF
Xavier Simons,MIL
Joe Taylor,ATT
Andy Lonergan,G
Omar Richards,DEF
Callan McKenna,G
Ronnie Stutter,ATT
Euan George Pollock,ATT
Freddie Potts,MIL
Cătălin Cîrjan,MIL
Harvey Peter Davies,G
Michael Olakigbe,ATT
Shola Shoretire,ATT
James Sweet,DEF
Tyrese Francois,MIL
Luca Stephenson,MIL
Jimi Tauriainen,MIL
Tyler Morton,MIL
Jay Stansfield,ATT
Lamare Bogarde,DEF
Alex Oxlade-Chamberlain,MIL
Haydon Roberts,DEF
Aaron Connolly,ATT
Jenson Metcalfe,MIL
Khayon Edwards,ATT
Joshua Alan Powell,MIL
Owen Beck,DEF
Finn Azaz,MIL
Tristan Crama,DEF
Owen Lucas Bevan,DEF
Alex Mighten,ATT
Jacob Wright,MIL
Conor Michael John Lawless,ATT
Harvey Vale,MIL
Philippe Coutinho,MIL
Lucas Moura,ATT
Donny van de Beek,MIL
Lucas De Bolle,MIL
Jake O'Brien,DEF
Callum Latif Olusesi,MIL
Elyh Harrison,G
Halil Dervişoğlu,ATT
Daniel Edward Peter Imray,DEF
Zak Brunt,MIL
Will Swan,ATT
Joshua Keeley,G
Florin Andone,ATT
Zack Nelson,MIL
Kofi Balmer,MIL
Daniel Langley,G
Demarai Gray,ATT
Wesley Moraes,ATT
Keinan Davis,ATT
Kortney Hause,DEF
Myles Lewis-Skelly,MIL
Aleksandar Mitrović,ATT
Michał Karbownik,DEF
Matthew Cox,G
Cameron Plain,G
Stanley Mills,MIL
Casey Pettit,MIL
Brandon Austin,G
Oluwafemi Ibrahim Seriki,DEF
Samuel Bastien,MIL
Youssef Chermiti,BU
Matěj Kovář,G
Adler Nascimento,ATT
Marc Jurado,DEF
Josh Dasilva,MIL
Naby Keïta,MIL
Daniel Chesters,MIL
Remi Matthews,G
Alex Matos,ATT
Roméo Lavia,MIL
Emiliano Marcondes,MIL
Luca Barrington,ATT
Rhys Williams,DEF
Jili Buyabu,DEF
Riley-Jay Harbottle,DEF
Nathaniel Phillips,DEF
Leighton Clarkson,MIL
Tyreece John-Jules,ATT
Paulo Gazzaniga,G
Sam Amissah,DEF
Omari Kellyman,MIL
Conor Coventry,MIL
Harvey James Duke Isted,G
Josh Duffus,ATT
Joe Whitworth,G
Sergio Gómez,MIL
Lewis Gibson,DEF
Abdul Rahman Baba,DEF
Terence Kongolo,DEF
Tom McGill,G
Kaden Rodney,MIL
Kepa Arrizabalaga,G
Krisztián Hegyi,G
Loïc Mbe Soh,DEF
Lewis Orford,MIL
Gabriel Słonina,G
Emmanuel Longelo,DEF
Jamie McDonnell,MIL
Marcelo Pitaluga,G
Josh Brooking,DEF
Alfie Sean Devine,MIL
Arthur Masuaku,DEF
Enock Agyei,ATT
Renan Lodi,DEF
Hamed Junior Traorè,MIL
Harvey White,MIL
Ryan Astley,DEF
Ben Chrisene,DEF
Niels Nkounkou,DEF
Sai Sachin Rony Sachdev,DEF
Harrison Neal,MIL
Christian Saydee,ATT
Joe Anthony Gauci,G
Tyrese Shaun Hall,MIL
Keenan Appiah-Forson,MIL
Dane Scarlett,ATT
Tyrique George,ATT
Cafú,MIL
Amario Cozier-Duberry,MIL
Tino Anjorin,MIL
Brandon Williams,DEF
Jack Cork,MIL
Thiago,MIL
Jack Spong,MIL
Steven Benda,G
Gianluca Scamacca,ATT
Malachi Boateng,MIL
Harry Winks,MIL
Carl Rushworth,G
Kosta Nedeljković,DEF
André Ayew,ATT
Charlie Sayers,DEF
Rodrigo Ribeiro,ATT
Tiémoué Bakayoko,MIL
Isak Hansen-Aarøen,MIL
Lino Sousa,DEF
Ethan Ampadu,DEF
Kadan Young,ATT
Ciarán Thomas Brennan,DEF
Owen Goodman,G
Glen Rea,DEF
George Wickens,G
Yasin Ayari,MIL
Zack Steffen,G
Max Merrick,G
Dion Enrico Pereira Greives,MIL
Habeeb Ogunneye,DEF
Braian Ojeda,MIL
Tyrese Fornah,MIL
Fabinho,MIL
Yago Santiago,MIL
Nathan Redmond,MIL
Miguel Azeez,MIL
Nathan Baxter,G
Franco Umeh-Chibueze,ATT
Josh Williams,DEF
Toby Collyer,MIL
James Huntley,MIL
